year,region,sexo,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
2009,RM,H,8.55,86.52,98.25,99.92,98.25,99.19,65.67,64.44,37.81,92.67,68.40,30.87,28.79,104.56,76.30,43.32,11.45,1.59,12.45,67.83,73.49,9.38,66.60,26.51,84.67,67.6,75.9,6.9,27.8,21.5,13.4,3.8,68.9, ,9.7,11.2,7.8,8.2,65.6,43.4,56.8,4.1,55.7,93.2,5.7,1168935,1181483,620508
1990,V,H,25.68,67.93,72.78,98.08,78.75,78.04,61.83,69.24,14.08,88.29,67.17,22.35,37.83,103.83,77.16,17.38,9.55,3.30,22.87,57.54,67.90,9.41,61.51,32.10,84.22,,72.2,10.9,36.2,22.0,10.9,4.1,65.8, ,8.3,41.9,35.6,35.8,,,,,,,,138375,139797,82173
1992,V,H,20.19,57.59,78.47,97.78,79.78,85.86,58.72,72.81,17.32,91.56,64.49,20.45,42.57,102.71,78.06,21.03,9.66,2.98,22.18,59.99,74.28,4.29,71.09,25.72,87.23,65.2,75.1,10.2,35.5,20.2,9.2,4.0,67.1, ,3.8,35.3,30.6,30.3,,,,,,,,224272,226118,135610
1994,V,H,18.27,69.01,86.06,98.92,86.98,89.96,64.55,68.88,25.75,91.78,64.13,25.92,36.30,103.82,95.60,29.24,9.85,2.49,38.18,62.13,72.69,6.17,68.20,27.31,76.88,75.7,75.5,10.5,35.5,20.5,11.3,4.0,67.1, ,7.4,26.6,21.7,21.6,,,,,,,,284441,286471,162928
1996,V,H,17.73,76.01,85.64,99.53,85.64,91.84,65.49,68.79,25.64,91.43,60.46,20.90,24.77,101.51,90.13,20.11,10.12,2.94,23.33,64.64,70.45,5.90,66.29,29.55,77.68,67.8,76.0,8.2,33.3,20.2,12.0,4.0,63.3, ,10.0,21.5,19.3,18.9,,,,1.6,,,3.5,354136,357739,200185
1998,V,H,15.48,76.97,87.13,99.18,87.13,91.46,67.86,69.43,27.96,92.13,69.18,22.70,29.52,103.48,72.96,16.87,10.20,3.21,25.34,65.40,74.14,9.12,67.38,25.86,73.91,65.2,75.1,8.7,34.0,20.2,10.4,4.0,60.9, ,10.5,18.6,16.1,15.6,,,,,,,,461599,465668,258020
2000,V,H,13.49,80.53,89.90,99.29,89.90,93.64,66.02,69.97,29.72,89.69,63.69,23.64,30.18,106.61,80.54,29.01,10.38,2.54,26.45,66.32,71.93,10.48,64.40,28.07,74.81,64.3,74.5,8.8,32.1,18.6,12.7,3.8,65.3, ,8.5,18.2,14.2,14.2,22.8,9.2,19.2,0.6,43.4,60.8,5.1,465422,469825,262228
2003,V,H,12.26,74.31,92.56,99.54,92.56,95.82,69.16,65.01,29.40,92.58,70.92,25.21,22.82,109.75,73.01,23.90,10.46,2.67,21.20,68.48,70.57,9.64,63.77,29.43,75.59,65.1,74.3,7.5,32.4,18.9,12.1,3.9,71.5, ,6.7,19.6,15.5,15.5,37.5,11.4,27.0,1.0,49.8,67.9,5.5,437373,442453,262873
2006,V,H,11.23,75.19,94.40,99.85,94.40,96.85,68.25,64.77,38.83,92.02,70.23,29.24,25.92,105.05,77.58,17.60,10.55,2.83,19.81,68.90,72.08,6.13,67.67,27.92,80.06,68.6,77.4,7.4,31.1,20.0,12.2,3.8,77.8, ,8.2,14.7,10.7,10.9,54.5,19.7,36.6,2.2,46.0,86.5,6.3,557383,563455,288499
2009,V,H,8.76,78.51,95.83,99.78,95.83,97.79,66.47,64.29,37.93,92.35,70.79,34.05,37.88,101.61,88.08,4.10,10.82,2.65,16.62,69.27,68.79,9.49,62.26,31.21,83.32,68.2,77.4,6.8,28.7,21.3,14.4,3.7,78.9, ,13.0,13.8,10.4,11.1,64.8,32.7,47.8,3.2,49.6,90.9,6.9,723125,741208,377372
1990,VI,H,27.36,48.11,53.30,89.91,58.53,60.56,53.84,72.64,11.90,93.18,50.60,4.86,36.99,101.10,83.32,24.03,8.05,8.17,37.44,52.10,75.18,6.60,70.22,24.82,78.77,,77.3,11.4,38.4,20.6,8.9,4.2,71.3, ,5.8,39.6,35.2,35.0,,,,,,,,124835,126136,71815
1992,VI,H,23.50,47.25,62.81,94.31,63.72,71.95,59.12,69.98,13.81,90.52,48.39,7.48,34.10,102.87,87.71,34.75,8.42,7.58,40.75,52.33,76.03,3.36,73.47,23.97,87.32,66.0,78.7,10.2,35.4,22.8,9.1,4.2,68.9, ,5.5,29.5,26.9,26.2,,,,,,,,219069,221122,119608
1994,VI,H,21.04,55.57,61.62,95.15,62.40,71.40,64.52,71.61,15.02,90.78,52.25,9.23,39.08,103.83,99.07,28.04,8.42,6.21,64.60,52.98,78.06,7.58,72.15,21.94,68.69,80.4,79.1,10.1,33.7,21.2,10.5,4.0,66.9, ,4.8,31.8,28.0,27.5,,,,,,,,236731,238922,138454
1996,VI,H,17.72,51.31,62.64,96.33,62.64,70.97,66.84,69.72,19.30,92.73,57.49,15.07,43.84,96.56,102.71,35.76,8.32,8.08,40.82,59.02,71.69,5.16,67.99,28.31,71.84,66.2,76.9,8.6,33.8,20.5,10.8,4.1,68.1, ,12.3,26.2,23.0,22.3,,,,1.3,,,5.0,306424,310385,163124
1998,VI,H,18.94,55.18,69.79,97.67,69.79,77.72,66.65,69.75,17.73,92.78,64.98,15.07,38.43,103.03,93.40,23.22,8.55,8.54,41.74,58.02,74.40,7.27,68.99,25.60,71.53,64.9,77.8,9.7,34.3,20.5,10.1,4.1,63.9, ,12.6,22.8,19.3,18.9,,,,,,,,370527,375440,209032
2000,VI,H,17.83,55.27,73.40,98.19,73.40,83.96,69.72,68.89,24.31,91.35,60.83,17.30,42.47,103.74,89.37,30.82,8.81,6.82,40.45,62.24,73.94,6.36,69.23,26.06,73.18,63.5,76.6,8.0,33.1,18.9,11.1,4.0,70.3, ,13.4,20.9,17.6,17.3,17.0,4.5,10.9,0.5,33.5,54.4,5.6,389214,395283,206557
2003,VI,H,15.04,57.67,77.35,98.89,77.35,88.30,69.85,69.78,28.80,93.57,68.68,19.38,38.10,103.81,100.25,32.34,9.17,6.55,35.46,65.57,73.45,6.55,68.64,26.55,79.20,70.5,79.0,7.5,31.5,19.2,11.1,3.8,74.4, ,11.1,18.7,14.4,14.2,36.4,6.4,17.9,0.9,42.1,63.6,2.9,393691,400434,230998
2006,VI,H,10.13,62.16,85.42,99.49,85.42,93.04,68.23,64.71,33.63,91.27,67.39,21.24,33.75,105.63,81.41,21.49,9.25,6.86,37.46,65.48,72.14,4.23,69.09,27.86,82.17,73.7,82.5,6.3,28.5,19.8,13.0,3.8,78.1, ,10.9,10.7,8.4,7.9,53.0,13.7,27.9,1.4,37.9,83.1,5.4,507504,515468,265065
2009,VI,H,8.63,67.63,88.34,99.69,88.34,95.24,69.23,64.64,32.83,94.84,60.87,25.31,33.47,107.53,85.43,24.16,9.41,6.81,33.54,63.64,70.65,5.95,66.44,29.35,82.94,71.3,81.0,6.8,26.3,19.7,15.9,3.6,80.4, ,14.2,12.1,10.1,10.7,66.7,19.9,35.1,1.7,37.2,88.5,9.2,607005,626582,354745
1990,VII,H,31.48,38.14,46.42,81.57,53.68,51.19,52.99,69.75,10.30,87.44,49.27,6.20,33.95,107.05,86.64,32.65,7.30,12.79,73.78,49.38,74.89,6.57,69.97,25.11,56.29,,64.5,10.2,37.1,21.8,10.4,4.1,80.3, ,4.9,41.9,37.5,36.7,,,,,,,,140708,142434,73373
1992,VII,H,30.39,37.79,55.79,88.86,56.84,58.73,60.80,73.22,10.75,86.65,34.62,6.36,25.11,109.95,85.00,24.48,7.57,9.89,73.27,48.76,79.30,4.66,75.61,20.70,67.21,49.1,70.0,10.5,36.8,20.0,10.0,4.2,74.8, ,4.2,39.9,34.4,34.1,,,,,,,,197666,199677,102894
1994,VII,H,24.52,40.64,61.75,93.47,62.83,68.90,62.80,69.85,18.35,90.84,41.80,10.57,30.80,109.46,68.96,16.53,7.76,9.82,68.29,53.84,77.70,5.21,73.65,22.30,62.04,67.2,72.8,9.6,35.1,19.9,11.0,4.1,74.8, ,9.1,38.2,34.7,33.9,,,,,,,,214695,217243,120856
1996,VII,H,22.98,49.91,62.76,94.54,62.76,70.32,65.45,69.74,20.91,89.83,51.96,10.06,42.63,101.68,90.80,19.86,7.94,9.70,63.93,56.81,76.75,4.13,73.58,23.25,59.21,51.9,74.2,9.3,35.5,19.6,10.1,4.2,70.1, ,13.3,31.7,28.5,28.2,,,,0.3,,,6.8,289312,294424,152098
1998,VII,H,23.10,49.08,65.20,95.81,65.20,71.95,69.82,70.01,23.28,92.06,54.67,11.32,50.92,95.26,96.99,32.45,7.99,10.77,65.93,59.65,77.93,8.18,71.56,22.07,62.41,53.8,72.7,8.6,35.6,18.5,10.1,4.0,72.3, ,15.7,29.3,26.4,25.5,,,,,,,,318124,324230,175297
2000,VII,H,20.86,51.13,72.97,97.25,72.97,80.11,66.85,69.96,27.19,93.82,57.91,18.21,36.87,103.49,88.77,39.31,8.56,8.45,62.96,63.81,74.14,7.14,68.85,25.86,67.11,55.0,72.4,8.5,33.9,19.6,10.1,4.0,74.0, ,13.2,25.1,22.0,21.6,19.7,3.9,8.4,0.8,30.5,58.5,7.5,437904,443878,263254
2003,VII,H,17.97,54.34,75.14,99.05,75.14,83.94,71.98,66.73,27.38,95.17,65.91,20.72,34.87,106.97,85.67,42.46,8.68,7.61,61.39,65.41,74.26,6.61,69.35,25.74,69.55,55.4,70.9,7.5,32.2,19.1,11.6,4.0,81.3, ,12.2,22.0,19.5,19.2,35.0,4.3,12.5,1.2,38.1,60.6,3.6,390492,398563,208424
2006,VII,H,12.57,57.58,81.79,99.15,81.79,90.06,70.61,68.95,37.20,93.96,68.04,20.69,25.77,113.67,95.47,40.89,8.85,8.08,55.75,66.71,71.70,5.10,68.04,28.30,75.04,63.2,76.4,7.6,30.7,18.8,12.8,3.8,86.4, ,9.0,16.9,14.2,14.2,52.4,8.9,22.2,1.4,35.2,84.7,8.0,445451,455171,232752
2009,VII,H,9.83,65.29,88.07,99.55,88.07,94.39,70.94,69.82,39.41,92.61,69.19,19.38,41.80,105.83,85.51,32.99,8.97,8.18,52.48,64.40,69.96,7.56,64.67,30.04,75.08,59.8,78.3,6.5,27.8,18.3,14.2,3.5,87.0, ,12.6,19.2,14.8,15.0,65.2,14.8,32.3,1.6,32.2,87.1,7.8,542032,566492,320757
1990,VIII,H,30.97,63.68,52.71,90.15,58.44,64.94,61.68,68.46,12.64,92.20,55.96,9.31,45.43,107.73,89.48,30.10,8.33,8.68,69.49,51.14,72.14,9.57,65.24,27.86,75.46,,71.5,10.4,35.4,24.0,9.5,4.4,70.7, ,3.3,46.3,41.8,40.9,,,,,,,,139271,140717,79277
1992,VIII,H,30.63,55.25,56.96,88.78,58.13,68.80,63.63,67.44,16.25,89.80,51.82,9.91,39.10,105.53,93.57,40.18,8.43,7.27,65.04,54.53,71.32,7.47,65.99,28.68,79.60,58.3,71.1,10.7,37.5,21.5,9.1,4.3,70.5, ,7.4,45.0,39.8,40.1,,,,,,,,175714,178564,100998
1994,VIII,H,23.90,72.54,64.80,93.28,65.67,74.98,64.23,67.22,16.06,92.29,55.09,16.96,37.63,107.36,91.37,28.42,8.77,6.39,59.74,56.65,71.88,6.77,67.01,28.12,77.45,75.1,73.5,10.0,34.6,21.9,9.2,4.2,70.0, ,5.8,38.9,34.2,33.7,,,,,,,,235304,238370,131215
1996,VIII,H,22.93,72.07,67.18,92.13,67.18,77.25,67.81,72.28,19.12,91.10,58.60,21.64,33.68,108.85,86.30,25.75,9.12,6.46,56.97,61.00,71.05,6.39,66.51,28.95,74.71,64.2,74.2,9.2,35.9,20.1,8.8,4.1,66.3, ,7.7,34.2,30.5,30.1,,,,3.3,,,5.8,335059,339913,191922
1998,VIII,H,21.10,80.05,73.54,95.87,73.54,82.92,71.18,71.72,22.40,91.61,55.29,19.55,33.79,108.57,92.58,33.07,9.28,6.49,59.49,62.99,69.45,13.27,60.24,30.55,75.38,63.6,76.0,8.2,34.5,20.7,9.2,4.2,73.5, ,9.8,32.2,28.2,28.7,,,,,,,,401937,408215,244340
2000,VIII,H,19.20,75.77,74.96,97.18,74.96,85.93,71.56,69.96,26.94,93.91,64.58,25.07,34.93,108.15,99.01,37.19,9.50,5.81,55.84,67.28,67.86,10.96,60.42,32.14,72.62,62.9,74.4,8.2,35.0,19.8,9.5,4.0,74.3, ,14.8,26.7,23.3,23.3,18.9,6.4,17.2,3.2,38.4,50.9,5.8,467305,474289,320188
2003,VIII,H,16.98,71.34,80.01,98.44,80.01,89.57,70.73,69.50,27.58,94.39,68.11,21.73,37.85,108.01,86.94,28.71,9.64,6.06,54.00,66.10,69.05,9.62,62.41,30.95,75.22,61.2,75.0,7.8,32.2,18.8,10.9,4.0,79.1, ,11.4,27.5,23.5,23.3,35.4,8.5,18.8,2.4,40.1,62.6,4.3,423013,430924,254792
2006,VIII,H,13.10,76.21,85.80,99.32,85.80,93.47,72.19,66.00,33.38,94.23,70.81,29.49,60.85,107.23,72.78,30.12,9.89,5.58,48.74,68.88,66.56,8.16,61.13,33.44,79.99,66.6,77.7,7.1,30.3,20.1,12.5,3.9,83.4, ,11.6,19.8,15.8,15.8,51.6,16.1,30.7,4.0,42.1,84.8,7.0,498225,508677,277710
2009,VIII,H,9.78,79.50,89.84,99.56,89.84,95.63,70.37,65.97,35.47,93.01,69.91,29.57,52.91,101.35,98.81,49.91,9.98,4.98,44.22,69.76,65.81,11.14,58.48,34.19,81.08,65.5,78.9,6.7,29.2,19.6,14.0,3.7,85.4, ,10.2,20.5,16.2,16.1,63.3,25.9,41.4,3.8,43.5,88.2,9.2,571576,596684,334032
1990,X,H,25.99,71.09,46.18,80.45,48.49,62.02,52.79,67.75,9.74,89.08,44.17,8.21,37.74,103.93,96.65,46.09,8.01,5.66,70.56,48.36,78.64,7.67,72.61,21.36,85.00,,69.8,11.1,37.4,21.3,9.0,4.3,75.5, ,3.6,38.7,34.3,33.9,,,,,,,,154826,156397,79563
1992,X,H,23.79,74.46,56.33,84.49,57.05,70.27,62.80,67.71,12.87,89.53,47.67,7.23,46.13,105.47,105.33,31.32,8.14,5.73,65.31,49.40,75.91,4.12,72.78,24.09,76.87,54.2,65.8,10.6,36.2,21.9,10.5,4.2,57.2, ,2.9,33.6,29.1,28.9,,,,,,,,205990,208187,105370
1994,X,H,18.97,78.06,59.58,82.27,59.94,70.95,63.69,67.96,13.02,88.30,44.13,10.66,43.81,105.89,99.28,50.68,7.82,6.24,65.12,48.54,75.96,6.49,71.03,24.04,70.30,66.3,71.0,10.1,33.1,20.8,11.9,3.9,71.1, ,4.8,32.0,27.5,28.1,,,,,,,,238667,241650,132596
1996,X,H,23.60,79.97,57.64,88.83,57.64,76.72,69.36,66.54,16.45,91.97,53.73,10.20,41.37,110.04,87.99,28.34,8.12,6.75,66.40,56.72,72.91,5.03,69.25,27.09,74.01,53.0,68.2,9.3,35.9,19.7,10.0,4.2,70.4, ,8.9,31.5,27.8,28.3,,,,11.2,,,5.2,297299,302839,163806
1998,X,H,21.03,83.53,65.00,91.37,65.00,82.40,65.34,68.77,20.86,92.91,54.15,13.71,54.70,102.90,95.49,27.46,8.70,5.23,62.59,58.13,75.14,8.22,68.96,24.86,70.04,54.4,69.0,9.8,35.7,19.4,9.1,4.1,60.1, ,9.3,29.0,23.7,24.0,,,,,,,,342630,348969,196405
2000,X,H,16.81,88.45,69.88,92.21,69.88,87.13,66.17,69.72,19.80,92.22,48.04,10.92,47.06,104.14,94.94,41.27,8.53,5.56,52.58,63.27,75.27,10.63,67.27,24.73,77.04,58.0,69.0,7.9,35.5,18.4,10.5,4.0,69.0, ,11.1,24.8,20.9,21.4,16.8,5.1,10.6,8.7,29.6,47.5,4.2,351598,359373,201307
2003,X,H,13.48,86.91,72.91,95.86,72.91,89.54,72.11,69.72,30.22,93.77,63.76,19.25,43.49,105.83,91.35,30.06,9.09,4.67,48.20,66.12,71.69,7.18,66.55,28.31,78.38,57.8,64.4,7.9,34.0,18.1,10.6,3.9,75.7, ,10.7,21.0,17.9,17.8,37.3,7.8,18.2,14.9,41.8,61.2,4.7,443719,453074,265938
2006,X,H,10.83,86.94,79.72,98.21,79.72,91.95,72.89,66.81,31.58,92.63,67.29,19.81,44.74,106.87,89.44,26.12,9.21,4.46,40.74,66.73,73.23,4.16,70.18,26.77,81.03,59.7,66.5,6.4,30.8,19.7,11.8,3.7,81.5, ,9.2,11.3,7.2,7.7,54.1,10.4,26.4,20.1,40.9,82.2,5.5,569383,582060,266887
2009,X,H,10.36,88.76,85.18,98.85,85.18,95.16,69.88,64.91,33.83,92.95,66.61,18.17,41.75,107.64,99.20,38.32,9.20,4.53,38.43,65.56,70.16,8.73,64.04,29.84,77.64,53.6,68.2,6.9,29.9,18.6,13.3,3.6,83.4, ,19.3,13.8,9.0,9.2,62.9,20.3,34.2,20.5,40.9,85.1,7.7,618234,650151,321294
1990,XI,H,28.95,81.85,56.45,83.46,63.11,71.44,57.49,68.18,12.13,92.29,55.29,1.94,38.20,106.32,97.91,24.48,8.03,6.38,76.10,55.04,80.33,8.05,73.86,19.67,91.31,,69.6,11.9,41.9,17.5,6.6,3.9,70.2, ,7.0,30.9,25.0,24.0,,,,,,,,148825,150245,90284
1992,XI,H,21.96,78.84,54.92,76.52,55.30,67.50,58.00,68.93,11.93,87.12,45.21,4.10,42.42,103.82,92.71,29.20,7.77,5.28,66.34,51.74,82.39,5.56,77.81,17.61,85.22,61.6,71.6,11.9,36.5,21.1,8.2,3.7,53.9, ,5.1,28.8,22.8,22.4,,,,,,,,203870,206201,131266
1994,XI,H,25.14,77.42,68.09,89.83,68.40,81.26,63.29,68.22,14.41,87.54,61.53,0.82,58.84,110.21,95.29,28.00,8.14,5.82,69.79,52.70,81.79,6.35,76.60,18.21,78.18,76.4,68.4,13.0,39.3,19.6,7.5,3.9,50.1, ,8.0,29.1,24.5,23.8,,,,,,,,254842,257515,151269
1996,XI,H,22.74,88.99,73.88,89.22,73.88,87.42,61.58,69.34,22.11,91.08,48.72,9.53,56.19,107.84,95.28,51.84,8.25,4.40,70.14,55.46,81.64,3.56,78.73,18.36,83.28,62.6,70.2,10.6,36.2,20.0,7.8,4.0,55.1, ,8.1,21.8,17.9,17.6,,,,7.2,,,7.4,371402,375616,186651
1998,XI,H,20.77,90.97,75.59,93.07,75.59,87.19,66.02,68.53,27.74,90.94,65.16,4.10,47.59,106.20,90.03,43.85,8.36,7.47,57.78,64.61,78.77,3.22,76.23,21.23,78.16,59.9,69.3,8.9,38.4,15.9,8.5,3.9,59.7, ,11.9,14.2,12.5,12.0,,,,,,,,562480,569083,349915
2000,XI,H,16.16,91.03,77.54,88.93,77.54,90.63,66.24,68.99,35.51,90.90,69.06,15.94,43.88,112.32,80.87,35.94,8.92,3.89,62.04,67.82,79.94,4.02,76.73,20.06,82.49,68.6,71.8,8.2,35.6,17.5,9.6,3.8,59.3, ,17.5,13.5,11.4,11.3,14.0,4.8,15.3,8.0,42.8,46.3,10.1,507164,514536,303119
2003,XI,H,15.18,84.54,86.71,95.65,86.71,93.44,66.61,68.44,45.01,90.54,50.36,19.10,57.81,99.81,91.60,48.45,9.07,5.18,51.77,69.17,77.03,6.73,71.84,22.97,85.83,62.7,65.2,6.5,33.0,17.5,11.0,3.7,64.1, ,18.9,14.7,10.5,10.5,26.7,8.9,24.0,13.4,46.2,54.4,4.7,580028,591674,344701
2006,XI,H,12.57,85.36,91.48,96.71,91.48,95.31,68.55,69.19,53.05,94.22,66.26,21.23,46.50,109.76,88.46,37.41,9.48,3.98,46.03,71.49,76.47,2.50,74.55,23.53,85.48,66.5,67.2,7.1,31.0,21.3,10.2,3.6,73.9, ,13.3,8.5,6.3,6.2,55.1,9.8,29.1,12.8,43.6,84.8,8.5,612033,621297,322261
2009,XI,H,11.51,78.23,93.63,98.65,93.63,96.35,73.44,70.87,53.94,94.48,65.09,19.67,37.91,107.24,85.28,32.74,9.45,3.72,38.26,71.19,76.45,5.98,71.88,23.55,84.03,52.7,64.6,8.1,31.2,17.6,12.0,3.5,76.5, ,14.1,14.8,11.3,11.1,65.7,26.7,43.4,21.9,46.5,87.3,9.5,854119,873680,449469
1990,XII,H,15.18,94.74,88.37,96.68,90.01,94.04,67.44,70.30,17.15,90.62,59.88,7.55,38.05,105.00,101.62,27.87,9.05,2.92,5.36,58.55,75.49,8.46,69.10,24.51,90.69,,71.7,10.2,35.1,17.6,10.3,3.8,61.2, ,9.8,27.5,22.7,23.1,,,,,,,,170699,172579,94668
1992,XII,H,17.15,75.01,89.86,97.86,91.56,94.54,61.25,72.40,14.32,93.14,70.15,14.27,49.62,103.36,92.45,33.09,9.19,2.52,2.13,62.41,74.88,3.37,72.35,25.12,95.16,74.6,74.4,7.8,34.1,18.0,9.3,3.9,57.2, ,2.6,23.7,19.8,20.0,,,,,,,,271531,272936,154996
1994,XII,H,10.06,95.91,95.91,99.32,96.14,98.31,66.75,73.71,28.39,90.64,75.96,25.49,47.05,104.64,90.26,44.90,9.97,1.39,58.91,65.61,74.11,3.21,71.73,25.89,87.05,79.7,74.8,6.3,29.9,19.8,11.0,3.8,38.8, ,1.8,12.7,11.8,11.1,,,,,,,,328343,329409,192042
1996,XII,H,16.00,97.63,89.77,97.82,89.77,95.19,59.91,72.94,42.31,91.91,56.86,15.31,37.77,114.90,78.91,33.13,9.47,3.64,2.10,71.48,79.41,4.22,76.06,20.59,84.26,75.6,73.9,7.1,35.9,17.1,7.4,3.9,44.5, ,12.8,14.3,11.3,10.9,,,,3.9,,,3.1,470872,474097,265517
1998,XII,H,13.64,97.53,94.80,98.84,94.80,96.87,72.04,75.72,25.87,84.97,57.33,16.64,47.78,104.36,85.57,28.34,9.77,1.98,1.94,58.47,75.29,5.10,71.45,24.71,79.17,76.7,76.4,10.8,32.3,18.6,12.0,3.6,54.4, ,10.2,13.2,10.2,10.4,,,,,,,,595561,598641,319011
2000,XII,H,9.58,95.16,96.16,98.45,96.16,98.52,68.75,71.69,34.87,90.72,79.29,24.93,44.34,108.79,94.65,42.22,10.58,1.07,5.54,68.56,74.24,5.91,69.85,25.76,88.75,78.4,76.6,6.3,32.2,18.4,9.3,3.6,48.8, ,16.9,11.0,7.5,7.1,30.6,15.1,32.7,5.5,52.3,59.3,6.8,852378,855495,443275
2003,XII,H,7.62,92.22,97.91,98.91,97.91,98.49,74.53,68.00,45.03,93.55,81.74,29.96,47.39,108.88,92.30,27.03,10.50,1.50,2.00,70.43,73.17,3.56,70.57,26.83,81.66,73.0,73.8,6.4,27.1,18.0,12.7,3.5,49.3, ,12.9,12.2,7.5,7.8,39.9,15.6,40.1,10.3,53.8,57.4,3.4,615819,618421,379977
2006,XII,H,5.97,82.88,96.82,99.21,96.82,97.88,68.77,66.67,47.97,94.27,70.82,33.32,41.61,108.55,95.67,24.10,10.44,2.69,3.89,70.92,75.13,2.64,73.14,24.87,85.33,71.0,76.1,7.0,25.9,19.3,14.2,3.7,59.1, ,10.3,5.6,5.4,4.9,58.7,18.3,51.8,14.8,53.3,77.3,5.9,789987,793718,361199
2009,XII,H,14.13,86.48,97.36,99.50,97.36,98.18,71.46,65.66,50.50,88.66,74.44,27.70,58.15,118.12,86.07,23.13,10.53,2.17,2.52,74.92,75.64,4.03,72.59,24.36,87.28,63.9,72.6,7.8,30.1,15.6,13.2,3.5,72.2, ,14.3,9.1,7.2,6.9,71.4,38.6,60.0,22.1,56.9,90.0,8.9,893968,905756,520586
2006,XIV,H,11.79,87.60,80.84,98.21,80.84,92.55,65.86,65.90,34.84,92.56,68.24,20.82,60.95,106.65,94.75,44.18,9.14,5.96,47.39,67.60,69.01,6.68,64.40,30.99,79.43,59.2,68.7,6.5,31.5,16.8,13.0,3.7,81.4, ,9.9,17.8,14.5,14.7,47.6,11.9,25.8,15.4,40.8,84.2,7.6,469405,479815,252099
2009,XIV,H,10.53,78.53,84.18,98.17,84.18,95.90,71.21,67.01,32.67,93.11,55.69,22.08,44.70,106.82,90.76,44.28,9.33,4.11,47.08,67.14,65.30,8.74,59.60,34.70,82.32,60.3,69.7,8.2,33.5,17.3,12.9,3.6,83.2, ,11.6,18.8,12.9,14.7,57.1,21.2,35.1,17.8,38.0,89.7,10.2,508648,537839,322557
2006,XV,H,17.85,69.65,88.35,97.73,88.35,92.16,62.07,52.44,42.46,93.07,83.30,33.81,39.43,116.76,73.51,28.30,10.47,1.11,43.09,74.40,67.68,7.92,62.32,32.32,79.61,57.7,66.7,5.2,34.2,16.5,12.1,3.9,76.7, ,7.9,17.8,12.5,13.1,40.3,15.1,33.5,23.2,46.0,91.7,5.3,667440,675059,239829
2009,XV,H,12.04,76.91,90.53,99.51,90.53,92.22,62.20,65.61,38.98,92.58,77.54,33.70,40.52,100.97,106.37,44.73,11.46,0.82,35.50,65.50,70.79,7.96,65.16,29.21,85.88,70.6,75.5,9.6,31.0,21.6,10.4,4.0,73.9, ,15.7,11.0,7.1,7.9,64.8,40.5,55.8,27.1,59.8,90.8,3.4,795509,810090,415280
1990,I,M,13.41,50.93,78.41,97.93,94.87,79.40,62.62,0.74,24.83,90.28,79.97,13.59,31.87,98.77,114.32,15.95,9.73,2.52,37.87,62.37,34.98,8.98,31.84,65.02,89.18,,74.4,10.4,35.8,21.5,8.2,3.2,58.4,46.6,4.5,28.5,32.9,33.3,,,,,,,,94565,95511,82980
1992,I,M,18.16,54.30,92.45,98.82,93.85,94.04,66.70,0.14,23.47,88.53,70.80,14.17,19.56,101.84,91.72,15.15,9.84,1.98,30.18,59.55,34.61,3.95,33.24,65.39,91.04,71.5,77.9,10.7,34.6,21.2,9.0,3.5,53.8,67.7,4.7,26.3,26.7,27.6,,,,,,,,197071,198102,106865
1994,I,M,6.02,48.16,89.91,92.47,91.05,90.25,61.60,4.24,24.03,93.85,66.48,22.84,25.18,102.52,89.78,8.75,10.21,3.25,49.69,62.68,36.74,11.11,32.66,63.26,76.49,77.8,76.7,8.9,30.8,20.9,11.0,2.9,55.1,55.8,8.3,23.2,30.6,26.8,,,,,,,,221071,222894,133299
