year,region,sexo,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
1998,II,H,19.06,75.36,95.85,99.35,95.85,96.06,58.95,66.55,22.74,92.80,54.01,29.41,39.72,100.30,95.81,22.12,10.76,1.06,9.54,63.13,72.45,6.38,67.83,27.55,89.09,74.0,75.0,10.8,39.6,19.7,8.3,4.1,45.2, ,6.8,11.6,9.0,8.6,,,,,,,,586087,589258,362680
2000,II,H,11.70,87.41,97.86,99.56,97.86,98.93,62.46,65.40,28.56,86.27,71.98,25.99,23.88,105.46,82.34,14.84,11.36,0.93,9.32,65.37,71.50,10.75,63.82,28.50,87.28,79.0,80.6,9.6,35.5,23.0,7.0,4.1,43.8, ,3.5,12.9,10.6,10.8,30.9,16.4,29.1,2.0,43.5,67.3,3.7,713890,716650,464677
2003,II,H,17.27,76.56,95.76,99.22,95.76,97.64,60.99,58.48,24.91,97.13,64.37,26.15,32.31,102.70,72.16,12.61,11.29,0.34,8.43,66.95,74.97,6.67,69.97,25.03,87.50,75.2,79.5,8.6,33.2,20.5,7.7,4.3,57.9, ,8.6,12.2,10.0,8.9,43.0,17.6,36.2,4.2,56.6,57.4,5.0,601762,605598,347186
2006,II,H,12.66,78.84,98.27,99.88,98.27,98.49,60.91,59.03,35.72,92.27,64.11,32.65,22.57,105.05,78.71,11.64,10.93,1.29,8.72,70.03,75.35,5.59,71.14,24.65,83.32,76.0,82.5,8.6,31.1,22.2,11.3,4.3,67.4, ,14.5,7.0,4.8,5.1,61.5,33.4,45.8,7.6,53.4,90.1,8.3,797896,803381,365067
2009,II,H,11.55,83.58,98.84,99.84,98.84,99.00,65.02,55.44,32.19,95.90,68.18,22.84,24.93,103.59,84.91,24.44,10.81,1.31,11.36,65.96,73.08,3.79,70.31,26.92,90.24,78.3,83.4,9.4,33.7,18.9,12.3,4.4,69.7, ,11.5,7.8,4.2,5.1,70.4,52.3,65.4,6.1,59.3,92.7,6.9,988526,1000451,498160
1990,III,H,25.86,46.97,68.75,96.03,78.18,73.61,51.79,64.71,20.40,88.84,62.48,4.90,22.87,104.93,71.94,9.22,9.11,5.54,74.64,54.57,75.80,7.27,70.29,24.20,85.21,,73.8,12.3,39.2,20.9,7.9,4.3,73.0, ,6.7,32.9,27.6,27.4,,,,,,,,190291,191803,106955
1992,III,H,19.70,47.87,81.33,98.00,82.12,85.34,55.85,66.69,19.41,83.97,48.15,9.98,18.14,105.23,46.59,8.19,9.43,3.50,67.83,57.71,77.25,5.26,73.19,22.75,86.82,68.9,74.5,10.9,36.3,19.1,9.6,3.9,59.3, ,5.6,29.1,23.2,22.5,,,,,,,,245087,246733,145294
1994,III,H,20.42,55.43,85.90,97.39,86.56,89.30,56.34,64.21,23.83,90.00,56.58,11.83,23.70,103.44,77.94,14.14,9.29,2.87,61.41,57.75,76.46,3.05,74.13,23.54,85.37,80.5,73.6,10.5,35.2,20.1,8.6,4.1,61.0, ,4.6,32.2,26.1,27.6,,,,,,,,242126,244042,149857
1996,III,H,23.07,58.12,89.31,98.59,89.31,91.65,63.02,68.90,20.68,91.61,54.13,19.91,22.62,106.23,61.87,12.60,9.68,3.93,58.80,63.21,75.66,5.34,71.62,24.34,84.89,70.6,69.3,11.0,38.9,17.7,7.2,4.1,53.5, ,7.1,24.9,20.0,20.0,,,,2.5,,,5.0,458995,462331,302998
1998,III,H,24.36,61.34,89.94,97.71,89.94,91.01,66.11,64.28,28.26,92.47,62.40,12.69,17.85,101.66,64.05,10.30,9.62,4.30,68.54,63.16,74.81,10.18,67.20,25.19,83.52,70.9,72.7,9.8,37.5,18.6,8.8,4.1,65.9, ,7.4,26.9,20.6,21.9,,,,,,,,382302,386630,245280
