year,region,quintil,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
2009,IV,I,16.83,53.84,85.59,98.81,85.59,90.88,70.29,38.01,29.71,89.21,70.54,42.84,102.8,88.26,8.47,7.16,53.78,31.48,33.5,22.61,25.93,66.5,60.3,52.05544583,84.84454354,9.137579091,34.69350387,17.08091172,16.89509484,3.664984839,94.51350813,45.26298399,7.837518962,55.62169092,9.051867132,23.97263992,1.015748934,28.37286303,85.36045155,8.5482149,117710.5076,156152.3329,152963.2708
1990,IV,II,39.01,33.41,44.35,80.41,48.56,57.68,67.22,52.08,10.23,91.26,51.88,13.9,102.85,65.83,7.66,7.08,77.4,26.26,45.79,9.25,41.55,54.21,69.81,,74.70418016,13.01849724,40.88204767,23.18363791,8.060570115,4.562127426,85.76875081,37.41731915,4.297126659,,,,,,,,53338.96055,54965.48235,34110.14704
1992,IV,II,41.28,22.98,61.21,91.82,62.02,68.85,64.91,48.12,14.81,88.68,49.03,22.7,105.46,65.04,7.85,7.29,66.77,27.4,45.49,7.38,42.14,54.51,83.42,56.52123021,74.19880115,11.88776644,40.18162208,21.85310511,9.020179317,4.813005231,72.22403173,60.10498688,9.380567008,,,,,,,,91037.35695,93610.32347,51713.93155
1994,IV,II,28.37,32.94,63.51,93.73,65.29,67.83,68.65,52.1,21.71,90.68,55.41,33.18,102.76,70.29,7.82,7.39,71.72,30.53,51.26,10.52,45.86,48.74,65.75,64.6438139,74.73551693,9.994749856,39.48023575,19.66432951,10.04217051,4.331743819,87.60791606,49.27067404,7.903236021,,,,,,,,108660.4601,112586.4983,62540.35845
1996,IV,II,36.47,35.68,67.99,96.87,67.99,71.66,72.76,48.88,26.69,90.13,60.55,34.77,105.1,95.43,7.75,8.53,70.49,29.75,50.63,9.32,45.91,49.37,68.18,58.38018314,81.99525842,10.37107592,36.08740829,21.96385277,10.6489499,4.761469265,84.03660232,58.30064906,5.57242555,,,,0.852976364,,,2.785268536,141378.7316,146987.0861,74143.99039
1998,IV,II,27.22,51.99,70.22,94.96,70.22,75.4,73.89,56.49,30.11,91.47,59.08,37.27,104.02,74.73,8.27,6.1,64.14,30.71,51.19,12.18,44.95,48.81,63.62,54.25908621,81.89925681,10.87229641,38.68196351,20.57551251,9.789731051,4.525260434,85.57018259,66.36753282,8.042578356,,,,,,,,172250.7194,178608.7775,102274.9476
2000,IV,II,25.99,54.64,78.66,94.52,78.66,82.64,76.08,49.87,36.19,94.53,65.94,43.45,107.67,86.27,8.42,6.65,64.24,33.71,50.66,11.62,44.78,49.34,67.31,53.7250123,75.53727551,7.98424788,38.45132999,19.51488662,9.027176735,4.562140107,86.03923994,51.69375143,9.619079165,10.73536148,1.457581693,5.363708209,0.907122977,27.01502837,35.65123606,7.382744047,189670.9853,198468.4616,106987.232
2003,IV,II,18.83,51.87,80.49,98.11,80.49,84.31,77.73,55.03,26.09,92.66,76.82,34.44,104.7,99.88,8.84,5.41,66.41,30.16,51.46,12.08,45.24,48.54,62.89,53.25664507,75.76942759,8.648046969,34.69549591,20.33713342,10.01651474,4.066055317,87.97844117,51.34918469,13.27839436,35.20002798,3.220301875,12.6120441,0.958170204,38.20775906,55.61340649,3.950520297,185059.0395,192559.5065,119313.1486
2006,IV,II,19.05,60.79,88.59,98.3,88.59,92.69,74.75,46.05,41.07,93.47,76.32,50.33,111.12,96.29,9.07,4.11,62.44,34.67,47.07,8.16,43.23,52.93,69.53,63.32025463,82.12793671,7.722986273,34.71162629,18.98068932,11.80833408,4.499768438,89.54682849,44.38112772,18.74510827,47.92622183,3.595661575,16.46180936,1.564104182,31.04447952,80.9261435,3.939225347,247463.0009,258463.3808,140349.9872
2009,IV,II,16.17,64,92.37,99.02,92.37,95.47,70.05,45.11,40.42,91.15,67.24,51.47,102.57,91.91,9.26,4.45,52.1,32.58,47.65,10.15,42.81,52.35,64.96,55.49245717,82.93206161,7.323179765,33.09724654,19.56745308,12.81173864,4.051437216,89.92220928,46.80785719,11.45268993,63.5551588,16.8736384,37.16035129,2.211994086,35.929747,87.87061995,7.183495201,292227.7308,317978.1387,185046.8613
1990,IV,III,29.84,41.53,50.33,84.45,56.59,61.27,63.99,47.72,12.69,92.13,62.75,16.64,99.87,85.36,8.31,8.05,64.98,21.15,48.11,8.15,44.19,51.89,76.89,,71.60604279,9.22900779,29.59763652,25.20803091,12.84680338,4.128207292,78.86051935,38.26877569,5.433352134,,,,,,,,75808.30604,77357.1169,40307.19681
1992,IV,III,28.34,30.06,58.94,92.87,59.73,66.8,66.48,49.06,21.41,87.02,51.3,31.02,106.67,69.37,8.25,6.23,60.47,23.81,52.12,5.95,49.01,47.88,86.09,53.93631025,69.86686513,9.993755625,32.06119488,25.31175963,10.65216992,4.263320675,73.28405268,54.94688923,8.811949977,,,,,,,,123492.426,125520.7523,63308.95757
1994,IV,III,20.38,44.03,75.79,94.66,76.32,78.64,73.82,51.96,24.36,93,64.35,32.16,101.21,100.96,8.49,5.67,61.98,25.68,55.53,6.37,51.99,44.47,70.94,67.62609903,77.58515815,8.700879974,30.53190352,23.09042004,12.42028572,4.11297531,75.78208871,47.22110303,4.439380128,,,,,,,,162084.6759,164431.4,77185.98258
1996,IV,III,25.84,53.23,70.08,94,70.08,75.45,73.66,54.06,33.73,89.58,53.45,45.79,105.09,77.3,8.41,6.87,53.58,27.16,55,5.49,51.98,45,71.78,60.39282117,74.93657398,9.404892549,31.98648544,23.20201854,11.4277567,4.28761439,70.89447506,59.19870742,7.945298373,,,,0.50358079,,,4.121519823,198159.6121,202292.5107,101966.3834
1998,IV,III,21.43,60.24,77.46,96.31,77.46,81.46,80.07,47.28,33.29,94.41,46.79,39.1,107.29,69.67,8.84,6.58,58.18,25.84,57.51,7.97,52.93,42.49,69.57,56.12790208,75.53008833,9.273358769,32.09488939,22.34503054,12.2718018,4.011461908,72.6187473,69.78678814,20.08257638,,,,,,,,243873.4767,248905.6514,123717.3537
2000,IV,III,15.23,56.09,84.17,94.38,84.17,86.93,81.11,50.75,30.56,93.16,63.04,39.75,103.28,94.36,8.85,7.04,50.75,27.22,52.93,8.81,48.26,47.07,75.36,60.80740483,74.53884781,6.993994494,28.9065537,20.06806769,15.0788173,4.149280753,77.3753532,48.9188681,4.702194357,15.01127799,3.403356414,8.840601952,0.183257653,27.55757373,58.34435429,8.486725104,286592.4526,294008.2976,141259.8684
2003,IV,III,12.92,59.66,83.31,97.17,83.31,88.6,72.54,44.69,35.43,92.22,72.85,46.39,105.78,98.47,9.22,5.73,52.04,31.7,57.02,9.74,51.46,42.98,69.51,54.54654775,74.45289811,7.338181706,31.46115126,20.41180285,12.66907541,3.83003637,80.65788666,51.72600977,10.21917085,39.07217179,5.377755265,21.08430036,0.689967459,45.16668769,61.68767103,4.096825689,276084.1777,282867.3953,151205.8253
2006,IV,III,11.45,58.46,91.69,98.66,91.69,93.98,77.45,39.4,51.58,89.22,73.75,68.68,101.12,106.83,9.1,5.03,55.58,25.58,53.65,5.62,50.63,46.35,71.6,61.70396488,79.71947195,4.696780708,24.12984082,20.5051675,16.720866,3.896545739,88.55394609,46.4973715,12.93998481,54.84909946,11.79187147,32.93894181,1.333246335,33.36537574,80.66932491,5.461307582,327208.8038,335364.8026,159631.2135
2009,IV,III,8.6,67.94,94.08,99.37,94.08,96.15,76.98,46.4,51.34,93.4,71.88,60.47,105.07,106.04,9.27,3.55,45.1,29.24,55.98,6.72,52.22,44.02,78.22,61.2166082,80.78394616,5.620718908,25.70933795,21.87992961,14.13908422,3.54402922,87.9743085,43.57084093,14.93712411,67.97762918,25.3373201,44.68563333,1.243708239,39.19766986,88.9002131,5.500650461,386269.9444,401781.4256,216229.64
1990,IV,IV,17.01,47.81,59.2,88.38,63.77,70.78,62.91,44.01,21.07,91.31,61.81,25.98,98.68,87.71,8.63,6.36,63.15,21.93,55.86,2.15,54.66,44.14,77.61,,66.72862454,8.233381247,27.24862738,22.57935292,14.21401136,3.586477921,63.62248227,39.58739499,4.909790003,,,,,,,,103696.0859,104636.4218,52166.40054
1992,IV,IV,12.71,37.87,67.31,90.18,67.31,72.86,73.96,38.66,15.47,94.37,78.18,21.74,100.25,114.79,9.05,5.07,46.24,20.21,54.43,4.52,51.97,45.57,87.63,56.32052642,59.86286759,6.153579477,22.38169527,24.94250881,18.58092101,3.388878011,58.05037583,61.72576263,5.015479876,,,,,,,,161976.6136,162863.5996,77753.0817
1994,IV,IV,9.29,51.11,79.57,95.53,80.77,83.14,71.98,46.5,23.78,95.31,66.87,26.99,107.59,100.58,9.22,3.24,50.15,22.12,57.72,4.19,55.3,42.28,75.21,72.29530877,69.07825353,7.809009478,25.92664888,20.84932874,15.21569393,3.397590361,65.36137677,45.90646651,13.87559809,,,,,,,,218280.7998,219758.7674,106024.5968
1996,IV,IV,10.85,51.89,79.48,96.05,79.48,82.84,73.15,48.55,37.65,93.01,82.24,44.24,103.34,113.1,8.86,6.58,53.03,23.82,56.43,2.74,54.89,43.57,78.79,60.2140924,67.54643454,5.909738717,24.51200845,21.25732383,15.64951174,3.52885296,58.03435345,61.71743823,15.59436275,,,,0.510463288,,,3.372444659,275347.9205,278354.465,137417.7773
1998,IV,IV,8.55,62.01,87.55,97.66,87.55,89.23,76.61,53.97,34.27,90.97,83.47,45.76,105.07,104.69,9.67,4.95,45.4,27.51,58.63,4.83,55.8,41.37,79.14,61.04323953,66.33551175,7.368535807,28.20954986,20.13339676,14.71130404,3.4307572,64.14686303,66.2763466,15.1328987,,,,,,,,342614.9805,345224.1489,180168.9267
2000,IV,IV,5.91,68.28,83.76,94.21,83.76,86.56,77.25,44.48,40.43,96.32,78.71,43.23,107.16,108.24,9.66,4.12,29.27,28.04,48.81,7.12,45.34,51.19,83.26,65.9767961,67.69230769,6.772337163,26.08076624,18.42430156,18.54676517,3.316974901,62.18126244,48.67106315,10.83428246,24.96651907,5.561367879,20.76640614,1.094426324,42.68044656,49.28391992,9.274416887,375293.2782,380986.9248,210893.1876
2003,IV,IV,5.26,65.59,89.37,98.41,89.37,91.68,74.85,52.68,32.89,95.04,86.3,38.95,101.21,101.45,10.11,1.9,32.21,26.8,55.68,4.01,53.45,44.32,80.68,63.8478453,67.83881977,6.813627255,27.20072179,18.76480233,16.44240863,3.410930934,71.10704653,52.35104837,12.67244145,48.80416739,12.89229211,42.44246727,2.088435585,56.85299933,51.86408408,2.165938143,390176.6542,393598.1649,207303.5775
2006,IV,IV,4.7,69.98,93.53,99.28,93.53,96.09,74.27,50.58,47.77,90.39,85.86,62.11,100.52,109.42,10.21,2.88,35.55,27.91,54.83,4.01,52.63,45.17,76.09,61.53119443,67.63736774,4.777320149,24.09493742,20.28958797,13.82474078,3.609486623,77.16093819,50.31351047,5.534825871,64.37194907,20.26044073,48.16326969,3.389812298,43.5717501,85.70104103,5.132530379,468731.6842,473502.6693,216951.8296
2009,IV,IV,3.74,73.91,95.95,99.04,95.95,97.63,71.32,45.55,34.18,96.71,75.19,39.24,107.59,98.26,10.16,2.08,33.39,24.63,62.48,4.73,59.52,37.52,74.68,55.68199981,70.70565302,5.355199874,22.0074115,19.66096349,16.10029173,3.121431384,84.46808686,45.52388365,8.257779956,77.51660304,40.69326712,54.10147418,2.876828336,48.64848191,93.81691697,5.420671397,535842.7601,545636.8228,280395.7357
1990,IV,V,4.67,70.91,83.81,96.01,87.66,87.76,67.82,51.32,22.57,92.41,82.94,30.87,100.7,105.62,10.93,1.66,34.72,24.88,56.92,3.45,54.96,43.08,88.19,,55.26681926,7.744759556,27.4352651,19.94451295,12.17755857,3.432223116,49.50725602,46.15097757,4.176904177,,,,,,,,313153.4029,314055.5048,160742.5139
1992,IV,V,4.36,47.14,79.86,94.92,80.49,85.03,71.8,48.04,47.52,98.49,75.71,50.01,106.34,106.83,10.52,2.18,32.48,21.74,63.21,2.46,61.65,36.79,94.1,50.96912042,48.54234775,3.61506732,21.21695592,20.29211093,17.89892858,3.020924765,38.28502415,66.20856161,3.802859751,,,,,,,,417107.2716,417785.7481,203150.4128
1994,IV,V,5.29,71.26,91.85,98.2,92.03,93.01,70.08,51.37,50.9,92.63,73.73,59.51,98.67,107.57,10.91,1.2,25.76,22.11,61.64,3.79,59.3,38.36,81.98,75.66492248,62.07044982,6.178118722,21.07186072,19.8007589,17.01185344,3.120458961,48.38392528,56.44729073,6.231527094,,,,,,,,537589.9861,538730.034,263798.0991
1996,IV,V,3.49,81.46,94.01,97.6,94.01,94.92,67.56,57.4,32.34,92.52,82.76,39.4,101.58,126.7,11.99,1.76,18.99,30.28,63.92,1.1,63.21,36.08,85.51,66.58534498,51.61756111,5.915036212,25.19511404,22.55756134,12.73375851,3.441080196,37.20211214,65.72757112,10.44238683,,,,0.321336761,,,1.924546655,802581.18,803734.5362,366938.2516
1998,IV,V,2.61,84,94.07,98.78,94.07,95.89,68.77,60.87,34.24,91.11,69.69,45.32,101.84,81.2,12.5,1.51,23.45,27.76,65.84,2.34,64.3,34.16,84.56,64.28539265,57.44667922,7.45674798,27.32219846,16.03843639,14.91349596,3.084894694,34.80137263,72.41350974,6.138965653,,,,,,,,996639.2767,997718.8155,468359.0534
2000,IV,V,3.32,80.01,95.16,97.92,95.16,95.74,73.67,56.66,39.46,97.2,92.7,44.41,97.46,142.99,12.11,1.5,17.07,27.76,62.36,2.72,60.66,37.64,84.92,66.93248734,62.32808568,6.073667306,23.56835725,18.44894576,14.50758949,3.177971683,49.43737166,59.24705882,7.206918642,39.54433953,16.14373717,47.84120465,0.832306639,64.74568153,53.12572248,4.680355921,1120389.3,1121833.608,492175.9868
2003,IV,V,1.19,82.76,97.03,98.88,97.03,97.61,71.89,55.18,49.38,94.16,93.92,55.4,98.22,111.68,12.66,0.69,11.71,29.79,62.14,1.42,61.25,37.86,87.17,65.52033265,63.38883653,6.778836988,23.34032412,17.02478551,13.54528122,3.101806677,44.96299897,60.52003271,5.416168857,60.06474957,45.43699022,69.3620699,2.649489548,78.61362919,79.74298663,2.167395884,1252238.108,1253521.943,570464.2785
2006,IV,V,1.35,79.19,95.84,99.36,95.84,96.37,74.12,49.34,33.07,95.33,85.58,39.4,102.69,100.89,11.77,0.92,15.55,22.04,66.52,2.65,64.76,33.48,86.67,65.69031004,60.24942621,5.384540782,19.33566094,20.88449229,15.63669867,2.985061664,55.56497175,62.87303616,9.128265336,78.03717618,47.39799121,66.91462649,1.013810421,61.68819326,89.78390582,3.655053358,1170884.566,1173972.819,522503.8444
2009,IV,V,3.1,80.5,97.64,99.62,97.64,98.71,72.02,53.18,36.05,99.44,78.35,36.34,110.53,108.26,11.61,1.52,20.79,20.8,66.9,2.97,64.91,33.1,88.04,61.15808546,53.80930267,4.648066384,16.04016699,19.22620991,19.37309946,2.919693018,68.90606086,50.46121223,18.28043391,82.0314319,50.22802128,64.9438392,1.199223039,57.23412635,93.31260513,4.287363117,1297528.483,1303220.349,588341.667
1990,IX,I,50.83,52,25.48,51.57,28.59,40.91,65.22,56.25,5.63,90.17,33.72,8.7,101.72,45.6,6.14,12.18,60.34,28.2,34.84,16.16,29.2,65.16,72.93,,62.41491506,16.22172484,49.88106051,17.70900913,7.609424333,5.154034775,80.39741631,33.43000393,1.713917258,,,,,,,,23693.45862,25839.54361,16863.08333
1992,IX,I,43.31,49.48,38.44,76.63,39.58,62.39,65.79,59.45,14.85,89.46,36.48,23.15,101.51,52.57,6.84,10.59,57.25,33.27,37.08,13.4,32.11,62.92,79.36,47.89258228,72.28756248,15.32924881,49.58013681,15.89394285,7.11982632,4.654727208,87.31390435,50.17756697,4.20395745,,,,,,,,38378.52194,42822.28992,34120.57688
1994,IX,I,42.14,57.1,34.22,77.17,36.11,60.19,64.27,58.31,12.06,87.57,38.73,16.99,102.3,57.69,6.52,10.36,59.8,30.72,37.72,9.18,34.26,62.28,56.79,44.66999506,59.2742089,13.91209032,47.36928642,16.7499726,8.157404363,4.503406062,89.11722673,47.04804359,1.499000666,,,,,,,,50440.44259,55599.9767,36569.43169
1996,IX,I,40.84,60.38,34.41,62.69,34.41,57.32,76.71,55.96,11.75,90.14,35,17.06,106.93,49.63,6.31,12.03,58.35,33.82,44.51,16.71,37.07,55.49,50.01,24.77226185,66.6506568,13.05684811,49.12949272,15.9081337,7.000086264,4.667116637,91.46940128,52.52875611,10.97260385,,,,38.42278039,,,6.753403204,48813.9698,57358.12384,38025.92723
1998,IX,I,40.81,62.9,40.2,73.18,40.2,59.79,80.67,51.83,17.39,90.67,42.14,22.13,110.04,66.24,6.34,15.16,65.4,32.87,36.3,24.6,27.37,63.7,45.09,21.88893505,62.03686899,11.75923097,44.98310359,16.46779182,10.07293138,4.851499363,91.60004916,49.30511661,8.186931179,,,,,,,,55835.36147,71344.68362,59386.83115
2000,IX,I,40.61,63.98,43.69,84.66,43.69,65.68,78.59,56.26,19.62,94,48.27,24.44,109.62,66.85,6.83,10.79,55.85,35.56,43.36,25.06,32.49,56.64,45.48,25.36245753,70.39458266,10.25744885,45.28090809,16.23678158,6.844889358,4.773964088,92.20947648,52.55276355,11.73970293,6.255618191,0.3130326,1.631729053,37.50910979,25.73999876,38.46476937,8.691173686,62456.65981,75539.53041,59455.07699
2003,IX,I,33.01,64.58,46.43,91.21,46.43,70.24,79.33,50.91,26.79,93.12,56.48,33.57,110.61,78.04,6.79,14.92,49.53,35.13,36.67,32.16,24.88,63.33,40.07,27.4644895,69.54035449,9.920726131,42.69002988,15.3657308,11.24701072,4.307946741,93.39777048,46.59149113,8.364133826,15.49138506, ,4.223098382,45.68466107,30.14117977,58.52611999,3.898850368,58486.92243,81428.47575,58409.72696
2006,IX,I,21.41,62.19,54,93.68,54,76.3,76.78,40.62,27.68,93.73,60.99,33.02,110.39,80.89,6.89,15.14,51.83,32.63,35.43,20.7,28.09,64.57,53.85,30.91893589,62.7367721,8.832586574,38.89664488,14.86243341,14.55700987,3.937234591,96.03392973,42.89935143,9.729859671,31.50548322,0.863245889,7.407951944,40.35081929,27.01351342,72.15572557,10.66800289,71162.23479,102297.4103,74024.32982
2009,IX,I,16.26,62.54,63.41,96.28,63.41,79.89,72.24,39.75,30.25,94.1,60.33,35.71,113.84,82.49,6.96,13.41,42.78,31.04,28.67,40.31,17.11,71.33,47.45,20.46918319,64.15196996,7.287447243,34.0105646,15.11480371,20.28933188,3.511324448,95.27951913,48.15486135,14.82820976,49.60439188,6.339408315,17.67417631,39.44472964,24.08843849,85.59166937,11.57095641,43538.32023,105565.4355,83719.84756
1990,IX,II,37.61,56.28,29.99,61.14,32.7,49.27,63.86,51.27,11.56,85.53,40.95,18.07,101.52,62.74,6.63,13.42,66.79,25.62,43.6,11.61,38.54,56.4,79.31,,64.40079893,11.66722216,38.75742201,22.18457208,10.39761014,4.522358064,78.45399553,31.80262311,4.23418424,,,,,,,,48367.53807,50161.75166,28084.39029
1992,IX,II,40.9,54.46,44.93,76.07,45.22,66.28,68.22,57.71,8.94,85.79,45.01,17.46,103.3,68.21,7.05,11.3,52.83,27.09,44.08,7.1,40.95,55.92,79.33,42.79053704,71.43042527,12.90119315,41.26316404,22.24568978,9.366667639,4.68920139,73.33254845,44.62299909,2.89247875,,,,,,,,78393.94936,81975.29734,45276.86714
1994,IX,II,27.73,67.23,49.87,82.28,50.65,72.56,64.91,60.99,9.19,92.71,42.19,13.48,106.83,61.12,7.31,7.2,56.9,26.53,43.9,6.51,41.04,56.1,66.96,52.9604837,67.23121274,12.62386255,40.76219547,19.84691341,9.058008718,4.241222048,83.45562979,47.762099,7.147835515,,,,,,,,96848.37932,99691.24662,58912.80779
1996,IX,II,33.25,66.08,46.75,73.57,46.75,66.31,75.21,51.52,19.81,87.83,43.74,26.6,100.49,60.76,6.81,11.54,51.23,27.78,51.12,7.39,47.34,48.88,64.58,40.26694814,71.88001306,11.60261402,40.78252268,20.7164355,9.471092122,4.492211691,80.59885132,57.73357796,10.09721048,,,,28.7914208,,,7.741560813,109123.1076,116090.2865,60241.41813
1998,IX,II,30.07,73.61,54.23,82.33,54.23,71.75,73.08,56.17,17.56,92.23,49.29,21.89,106.64,67.94,7.51,9.43,57.71,29.21,46.91,11.04,41.73,53.09,64.16,44.77848101,71.03972616,10.40569998,38.54803214,19.91176117,9.97130147,4.419521774,78.46810294,51.8147575,12.35180869,,,,,,,,120556.2256,130951.157,80784.67871
2000,IX,II,30.74,75.34,60.9,91.09,60.9,80.76,68.55,58.7,23.69,94.48,55.1,28.38,109.42,82.87,7.81,7.84,56.27,32.29,51.26,15.83,43.15,48.74,60.33,44.0205001,71.73364669,9.988818487,38.78725203,19.58549658,7.65959904,4.378545488,82.04101622,47.67486339,15.73007617,8.906727581,0.540723388,3.901690329,23.32734212,26.03774867,48.10294566,8.427408769,140762.6709,150519.0541,85707.98529
2003,IX,II,20.87,73.17,59.35,95.21,59.35,80.4,75.1,51.36,21.85,94.52,65.65,28.8,108.9,108.07,7.74,12.21,55.87,36.03,44.11,12.35,38.66,55.89,65.96,46.20215199,75.15771624,7.795824136,37.20508718,19.48601632,11.43198526,4.251953587,88.91991277,44.16923924,14.40863248,25.47852755,1.726387634,6.028669714,24.73926254,36.40851288,72.15300107,3.165348152,148115.6479,161592.5819,91567.55106
2006,IX,II,16.23,65.96,67.86,97.21,67.86,85.21,74.84,51.15,31.45,93.34,69.46,37.95,108.65,93.22,7.93,9.14,46.46,30.8,46.35,8.95,42.2,53.65,73.67,52.18699005,72.17310665,7.732653091,34.48411974,17.03729653,12.87936726,4.055650051,92.26557153,48.91412298,12.64494754,47.12490208,5.707506274,18.51243441,26.38147388,32.99168294,82.05510505,7.892311202,185049.5616,201219.0479,112646.2733
2009,IX,II,20.51,70.68,72.39,98.03,72.39,86.95,72.35,54.17,41.8,95.47,69.81,46.14,111.55,92.19,8.16,9.19,43.11,32.24,40.98,17.96,33.62,59.02,71.05,37.77913385,73.62091468,7.61758884,33.80950137,17.42058629,14.10406259,3.896786042,92.04523855,48.83893826,12.92542409,60.17451223,10.88965523,29.99746563,30.37264326,32.54193536,82.69888306,10.35698446,176029.3187,216384.6177,142266.9863
1990,IX,III,24.59,76.68,45.84,70.32,48.31,66.12,68.45,51.33,6.99,92.13,47.69,11.04,105.08,65.84,7.43,10.62,56.02,23.13,44.91,7.89,41.37,55.09,87.89,,62.89297287,8.932601719,32.45263485,21.99054422,14.31342099,4.052047209,71.88359635,30.78881574,3.501614822,,,,,,,,71145.87473,72483.67315,36512.37464
1992,IX,III,23.91,61.41,53.44,80.68,54.29,72.14,66.14,54.57,13.87,91.03,41.22,18.5,111.97,61.69,7.64,9.12,51.68,24.26,48.08,2.96,46.66,51.92,81.9,50.66640301,69.83143493,10.03941036,34.50882277,23.16959659,12.28388664,4.109685296,72.460636,45.9422688,5.912374892,,,,,,,,107371.7803,109767.4692,56353.35537
1994,IX,III,12.15,75.12,58.27,88.68,58.53,80.62,71.28,53.15,8.75,93.78,57.18,11.35,108.59,77.61,7.73,7.45,56.61,22.47,48.15,4.87,45.8,51.85,69.68,57.95435889,73.07031078,9.035723277,31.15925812,20.76258148,12.57867793,3.550203595,72.93113334,48.23773866,8.659793814,,,,,,,,124485.2626,126465.3029,73129.45691
1996,IX,III,21.29,69.74,56.92,78.12,56.92,72.73,79.57,54.89,16.56,88.96,55.44,28.19,102.87,81.13,7.41,9.42,54.78,25.47,53.18,5.97,50.01,46.82,72.68,48.70779098,64.10726961,8.734547914,32.78965677,21.76330011,11.73642194,4.098053031,63.16176986,58.53503065,12.77552079,,,,20.96767408,,,6.949723021,163517.5094,170694.7566,80246.35512
1998,IX,III,15.49,75.05,62.69,85.22,62.69,79.34,76.3,56.92,27.52,96.37,60.48,30.39,107.77,76.41,7.87,7.39,50.41,27.02,51.21,6.27,48,48.79,73.93,52.15214699,69.69175372,7.637191165,33.41422044,18.22313975,12.88217647,3.841371794,67.72932933,54.23155981,10.68315246,,,,,,,,178952.6171,186128.8779,103399.213
2000,IX,III,16.14,77.75,68.38,91.77,68.38,84.68,76.14,52.65,17.02,95.84,69.3,20.23,107.21,101.92,8.19,8.37,49,27.21,50.35,8.59,46.03,49.65,71.5,50.38199678,70.72514672,8.571830309,31.41774125,18.78701952,12.92014037,3.937325552,75.61370488,50.01814955,13.20883848,13.30479218,1.750594165,7.202558499,19.42322109,30.61272339,53.41389385,9.138978833,206712.5708,215511.649,117351.66
2003,IX,III,13.22,79.39,73.76,96.29,73.76,87.44,65.01,49.1,32.82,93.87,72.42,42.73,102.06,125.13,8.95,7.89,33.31,36.13,49.1,9.71,44.33,50.9,62.41,51.16100261,66.71912706,5.005314578,30.32927767,22.31218056,12.14381021,3.758675649,79.330926,44.1910092,7.158942752,35.38519804,4.433652928,18.42360852,23.96048645,38.65551469,67.1285071,3.219192297,207930.5286,217753.2645,118481.0874
2006,IX,III,10.49,73.11,77.28,97.58,77.28,90.28,74.25,49.43,24.88,93.64,75.3,33.87,107.28,106.3,8.99,6.12,37.23,28.65,54.46,5.42,51.51,45.54,78.21,54.62410945,71.44819191,7.019924415,29.2590492,20.92143134,14.1045144,3.765277611,82.36399882,48.05271055,15.33523538,57.26427336,11.6159589,29.42522277,23.8426855,38.00724797,84.38262942,6.881003987,278919.2001,289391.3165,141960.6741
2009,IX,III,11.55,73.16,81.7,98.98,81.7,92.09,71.31,55.28,37.04,93.19,75.35,43.46,103.52,98.91,8.96,5.42,34.23,30.4,51.87,11.26,46.03,48.13,73.75,44.95228307,66.99656668,7.278557967,31.34283746,18.23109814,12.72417776,3.691358256,85.8319135,48.68262524,8.49343832,69.5732683,24.46847301,42.48569667,20.71347596,40.26706483,90.97059909,7.973402104,284759.0521,314699.4837,184274.9077
1990,IX,IV,13.83,80.54,55.51,72.53,57.96,71.96,65.26,53.69,19.36,87.78,53.72,26.69,104.16,71.67,8.7,7.03,43.16,22.75,52.87,3.47,51.04,47.13,90.57,,63.8915176,8.353372892,29.97970019,22.14943785,14.39178638,3.569577214,63.8479681,31.78755078,4.604003481,,,,,,,,107715.4226,109007.1632,52616.75939
1992,IX,IV,14.25,68.66,64.11,82.58,64.4,79.71,72.82,46.12,20.58,91.25,52.21,29.16,106.6,72.59,8.38,8.01,40.06,24.08,55.82,3.46,53.89,44.18,80.28,53.96186441,62.09029367,7.096867435,29.39263649,22.00166203,13.74715468,3.775646622,54.07275482,51.94296824,4.129242972,,,,,,,,156687.7092,158463.0292,73291.75437
