year,region,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados,indice_de_gini__ingreso_autonomo_,indice_de_gini__ingreso_monetario_
1996,II,22.41,74.3,95.43,99.59,95.43,97.19,63.38,61.86,22,93.25,66.93,22.05,30.01,106.45,95.23,27.59,10.31,1.21,9.05,63.14,50.92,4.49,48.63,49.08,82.82,68.58,79.83,9.78,34.85,20.12,9.13,4.07,44.38,64.07,9.59,16.37,13.38,13.35,,,,97.35,,,1.38,465462.43,467726.08,270497.29,0.49157,0.48788
1998,II,19.61,74.8,95.04,99.25,95.04,95.24,60.23,55.63,25.93,92.26,61.78,24.77,34.03,102.4,85.42,33.13,10.46,1.33,10.83,63.58,52.3,6.57,48.86,47.7,85.73,70.89,76.79,9.84,36.38,20.15,8.42,3.95,48.89,60.61,7.56,12.66,11.67,11.57,,,,,,,,530660.09,533881.96,318331.4,0.52583,0.52156
2000,II,11.22,85.55,98.13,99.61,98.13,98.93,64.34,53.66,30.06,90.5,68.88,24.16,40.56,102.53,97.76,31.99,10.93,1.09,9.71,64.49,51.16,11.44,45.31,48.84,84.53,75.59,79.92,9.28,33.49,21.64,8.71,4,47.77,51.74,7.64,13.44,11.35,12.37,26.18,14.41,25.89,97.74,40.8,62.62,3.67,628975.08,632066.04,395029.15,0.53116,0.52681
2003,II,15.87,76.34,95.74,99.32,95.74,97.82,63.2,48.71,28.48,95.88,70.02,27.25,30.74,111.27,96.58,35.49,10.92,0.7,8.17,64.03,56.97,8.47,52.14,43.03,84.51,69.2,78.6,8.98,31.99,21.11,8.68,4.17,61.03,46.79,10.94,11.22,9.7,9.07,42.3,16.69,34.62,95.47,55.44,52.43,4.54,573278.81,577772.71,311081.12,0.45822,0.45265
2006,II,13.06,77.71,98.62,99.86,98.62,98.82,63.04,47.16,35.09,91.86,66.55,30.63,43.03,104.66,100.18,44.36,10.69,1.4,8.33,68.07,59.5,6.12,55.86,40.5,82.3,71.31,80.3,7.73,30.09,22.1,11.75,4.13,69.22,44.36,9.15,7.31,5.52,5.56,60.7,30.56,43.55,92.4,52.71,88.36,7.85,728541,734048.62,313399.43,0.45924,0.45391
2009,II,12.35,79.32,98.4,99.87,98.4,98.69,65.53,41.06,31.82,94.2,70.08,25.4,38.75,105.08,90.75,34.3,10.64,1.63,10.36,65.07,54.99,5.8,51.8,45.01,86.15,71.76,82.42,9.11,31.22,18.86,13.24,4.25,71.74,56.15,13.28,8,7.8,8.13,70.36,46.22,59.71,94.3,56.48,92.44,7.29,852785.89,868689.72,422639.65,0.41768,0.40575
1990,III,24.53,44.47,68.53,96.36,78.53,74.09,55.09,52.58,18.76,90.1,63.29,6.44,26.03,101.01,91.21,6.76,8.86,5.21,69.07,56.5,51.04,6.89,47.52,48.96,85.58,,75.06,11.7,38.41,21.07,8.76,4.17,74.48,43.51,5.2,34.17,28.23,29.39,,,,,,,,172022.16,173433.95,92914.91,0.53916,0.53405
1992,III,18.15,44.38,81.9,98.19,82.78,85.99,58.67,53.8,19.34,85.97,53.28,9.65,30.61,104.12,78.5,12.72,9.2,3.71,65.47,57.47,51.14,4.89,48.64,48.86,86.41,67.95,75.78,10.06,34.31,20.28,10.24,3.73,61.38,66.24,5.35,29.89,24.4,24.87,,,,,,,,222194.24,223734.89,131780.96,0.52607,0.52045
1994,III,19.28,53.93,85.99,97.41,86.54,89.36,58.74,52.17,22.2,89.02,57.6,8.78,31.82,106.02,81.04,11.62,9.14,3.42,59.63,56.97,52.21,4.03,50.1,47.79,82.23,76.61,73.04,10.2,35.08,20.44,9.16,3.96,62.97,48.52,4.91,32.51,27.17,29.33,,,,,,,,228047.85,230132.57,135160.1,0.48123,0.4749
1996,III,22.34,57.28,89.76,98.55,89.76,91.8,65.12,58.95,19.57,93.52,54.19,18.77,26.21,108.21,78.54,23.13,9.56,4.17,58.68,61.96,52.77,5.48,49.88,47.23,81.78,68.55,72.77,11.19,38.13,17.53,7.63,3.96,57.6,59.63,6.64,26.44,21.83,22.46,,,,97.62,,,4.45,413963.19,417483.53,257355.71,0.58205,0.57477
1998,III,24.41,63.04,90.04,97.72,90.04,91.17,69.56,53.9,27.26,92.74,61.94,13.03,35.72,102.24,80.98,17.47,9.51,4.07,66.28,63.1,53.73,11.32,47.65,46.27,79.69,69.16,75.38,9.7,37.01,18.94,9.32,3.93,67.94,61.37,10.12,28.69,22.56,25.07,,,,,,,,349161.14,353538.63,217445.13,0.50429,0.49493
2000,III,20.03,59.2,93.46,99.32,93.46,94.56,68.35,55.28,31.74,91.06,58.64,10.92,44.94,105.52,88.46,17.96,9.76,3.07,66.12,70.15,55.97,11.15,49.72,44.03,79.76,68.79,81.93,8.33,37.61,16.84,9.21,4.03,73.58,54.9,11.67,23.86,19.32,21.23,17.92,4.7,13.24,99.33,33.76,55.75,3.9,371488.66,376714.49,215153.47,0.49264,0.48445
2003,III,16.14,54.13,94.69,98.69,94.69,95.6,70.91,50.56,34.17,95.67,72.09,23.41,40.34,103.93,96.44,30.25,9.58,3.78,60.67,69.44,56.76,10.11,51.02,43.24,82.18,66.41,75.71,7.24,33.2,19.44,10.06,3.87,76.12,53.53,10.15,24.85,20.09,19.85,34.12,8.08,18.87,97.87,45.57,64.21,5,389139.04,396207.53,227174.1,0.4793,0.46795
2006,III,13.27,63.73,93.89,99.27,93.89,95.18,67.28,50.52,37,92.82,70.31,22.98,46.37,104.78,96.84,30.18,10.3,2.37,59.56,68.85,58.66,6.48,54.86,41.34,83.82,70.01,79.52,8.6,33.9,19.79,9.42,3.93,78.14,50,8.83,10.48,8.69,9.66,58.37,19.47,36.7,95.35,48.31,84.71,4.08,648281.34,656093.05,308110.91,0.47377,0.46444
2009,III,13.76,67.41,96.14,99.53,96.14,97.08,68.45,47.88,33.13,89.13,73.23,23.71,46.22,100.1,103.5,28.41,10.33,2.31,55.97,65.41,56.01,9.45,50.72,43.99,83.46,60.27,80.15,9.28,34.01,20.36,9.55,3.9,78.8,53.68,10.66,17.52,14.79,16.68,67.75,33.61,51.62,92.48,52.6,88.54,6.44,640835.69,657613.5,345417.09,0.461,0.44312
1990,IV,28.98,44.09,54.63,85.81,59.69,65.49,63.07,49.81,14.75,90.86,57,12.17,19.39,101.9,77.15,12.63,8.49,6.5,46.47,52.87,49.33,8.15,45.31,50.67,76.94,,70.63,10.8,36.17,22.05,10.24,4.12,78.65,38.87,5.31,45.3,39.66,39.97,,,,,,,,114582.36,116219.4,66409.49,0.54041,0.53134
1992,IV,26.86,30.62,63.22,91.88,63.89,69.86,67.71,48.54,17.77,91.18,56.04,8.8,25.38,105.18,77.01,11.25,8.65,5.29,42.04,53.57,51.01,5.8,48.05,48.99,86.72,53.75,67.34,10.05,34.24,22.1,11.33,4.02,68.79,61.47,9.57,38.69,32.65,33.58,,,,,,,,167881.04,169802.66,91267.78,0.50465,0.49658
1994,IV,21.95,44.42,72.12,94.11,73.16,75.36,69.93,51.23,25.02,91.75,58.67,13.13,32.57,103.52,81.76,15.43,8.65,5.54,62.87,58.91,54.21,7.81,49.98,45.79,71.05,68.6,72.34,9.7,34.48,19.76,11.63,3.94,78.97,49.01,8.08,32.03,26.56,27.64,,,,,,,,217311.29,220167.98,116780.54,0.50155,0.49228
1996,IV,24.61,49.96,72.29,94.95,72.29,75.89,70.51,51.62,29.79,90.16,60.86,15.86,38.72,103.19,88.63,19.44,8.75,7.16,46.64,61.49,53.63,6.31,50.25,46.37,72.83,60.31,73.87,8.66,33.72,21.24,11.69,4.16,74.98,59.13,10.35,30.12,25.08,27.17,,,,99,,,3.53,297425.59,301843.5,159226.48,0.53379,0.52295
1998,IV,20.73,60.09,77.5,95.64,77.5,81.13,74.9,53.42,28.08,92.19,59.93,15.5,35.58,104.29,77.85,19.81,9.25,5.61,43.94,61.11,55.24,9.95,49.75,44.76,70.16,57.35,73.74,9.86,35.81,19.86,11.2,3.98,75.51,67.09,11.31,24.77,19.88,21.48,,,,,,,,368106.82,373286.69,200968.45,0.55,0.53878
2000,IV,17.44,60.07,81.87,93.95,81.87,84.55,76.14,50.57,32.04,93.65,69.08,23.24,38.89,103.25,95.52,30.69,9.34,5.31,39.79,67.22,51.67,11.17,45.9,48.33,73.07,58.65,72.41,7.73,33.22,18.94,12.13,3.99,75.87,52.22,11.76,24.84,19.96,20.57,16.92,3.66,11.52,98.97,33.63,46.78,6.95,413271.23,419834.2,220295.54,0.54799,0.53772
2003,IV,13.97,60.15,83.53,97.55,83.53,87.08,74.3,50.98,32.03,93.18,74.19,22.03,39.19,105.61,95.9,30.48,9.71,4.43,37.78,65.31,53.89,9.08,48.99,46.11,71.08,56.62,72.03,8.47,32.56,19.08,11.94,3.76,80.07,52.76,11.19,21.55,17.83,18.97,39.46,8.98,21.77,98.7,45.79,60.42,3.4,439607.64,446253.08,242933.94,0.5635,0.55107
2006,IV,12.98,62.8,89.48,98.2,89.48,92.73,76.25,45.66,41.17,92.03,75.42,22.4,51.9,104.8,98.04,29.83,9.59,4.07,38.98,67.98,51.68,7.02,48.05,48.32,72.58,61.26,76.55,6.58,29.12,19.08,14.22,3.86,86.48,47.48,10.44,15.87,13.12,14.55,51.59,10.75,26.34,98.24,35.53,83.35,5.22,466142.27,475858.44,245977.95,0.50658,0.49059
2009,IV,9.69,68.02,93.12,99.17,93.12,95.76,72.13,45.64,37.93,92.66,71.23,27.2,47.17,104.62,96.31,35.3,9.72,3.78,32.26,66.72,53.12,7.99,48.87,46.88,74.36,57.9,75.28,6.55,27.04,19.47,15.64,3.46,87.51,45.88,10.68,16.57,13.84,14.68,67.05,21.25,35.31,98.26,39.38,89.81,6.55,524438.63,543484.97,314281.25,0.48458,0.45942
1990,IX,26.69,70.18,46.65,67.37,49.1,62.02,65.63,53.25,10.41,89.19,43.6,9.7,15.5,103.01,59.26,10.5,7.81,9.61,54.12,49.2,47.13,7.37,43.65,52.87,84.38,,62.83,11.04,36.66,20.76,12,4.12,73.17,33.19,2.7,46.36,39.3,40.4,,,,,,,,122356.81,123808.17,65107.35,0.59854,0.59067
1992,IX,25.4,61.24,55.86,80.81,56.43,72.84,68.73,54.55,14.94,88.98,45.69,11.25,22.96,104.48,66.55,13.09,7.97,8.71,48.88,53.14,48.92,4.92,46.51,51.08,81.26,50.72,67.41,10.82,36.78,21.09,11.32,4.08,72.88,48.64,4.35,41.57,35.26,36.29,,,,,,,,145927.87,148568.4,78720.06,0.48916,0.47769
1994,IX,19.53,72.75,58.06,86.98,59.29,76.67,67.36,56.99,12.06,91.09,48.53,9.44,16.19,104.75,68.24,12.33,8.15,6.97,51,51.27,48.72,5.17,46.21,51.28,74,59.72,65.09,10.87,35.72,19.93,11.86,3.74,75.48,49.87,4.33,34.43,28.75,29.47,,,,,,,,228827.68,231405.04,142267.58,0.59029,0.5818
1996,IX,22.07,73.71,58.56,78.24,58.56,73.98,74.8,55.6,18.14,90.24,49.11,14.02,25.69,104.63,67.89,15.99,8.04,8.68,48.89,57.89,53.19,6.77,49.59,46.81,71.38,46.63,66.11,9.35,36.34,19.36,11.49,4.01,74.83,57.16,10.05,35.69,30.01,30.58,,,,71.89,,,6.72,251646.04,257568.61,131912.37,0.56211,0.54684
1998,IX,20.13,78.29,65.29,85.96,65.29,79.17,74.18,55.76,20.84,93.57,54.55,19.64,25.06,108.06,76.22,25.55,8.62,7.99,49.32,60.32,50.13,8.47,45.89,49.87,74.11,52.27,65.69,8.89,35.03,19.59,11.42,3.98,74.16,53.46,9.16,34.79,28.07,30.21,,,,,,,,334973.56,342697.68,212004.24,0.61612,0.59729
2000,IX,19.73,78.89,68.27,91.7,68.27,82.8,74.13,55.31,22.8,94.42,59.73,19.74,27.98,108.91,85.82,28.26,8.78,7.33,46.75,64.1,51.18,11.48,45.3,48.82,69.88,50.49,70.23,8.71,34.18,18.51,11.82,3.93,76.55,51.16,12.41,32.73,26.84,27.96,13.7,4.82,10.22,74.39,33.08,52.86,8.31,374272.58,382769.23,233481.35,0.61741,0.6022
2003,IX,15.08,80.16,70.77,95.62,70.77,85.31,73.87,50.17,27.26,94.03,67.14,30.1,34.63,107.15,101.39,39.15,9.06,8.7,41.64,69.61,49.48,10.87,44.1,50.52,69.02,50.96,69.5,7.01,32.67,19.92,12.37,3.77,81.1,47.26,10.53,29.71,24.56,25.35,29.07,7.59,15.86,69.73,41.32,68.54,3.24,368473.66,379717.22,226462.52,0.60006,0.57662
2006,IX,11.24,71.44,75.74,97.14,75.74,88.81,73.65,50.53,33.56,93.82,72.36,20.66,40.91,107.31,96.24,28.53,9.19,7.32,39.17,66.79,52.6,7.49,48.66,47.4,77.41,55.1,67.05,6.93,30.58,18.45,13.83,3.64,85.2,46.25,11.42,20.05,16.51,17.93,48.36,11.44,23.83,72.19,38.38,82.7,7.97,420595.6,433892.74,235836.95,0.54628,0.52031
2009,IX,10.92,75.02,79.25,98.37,79.25,90.09,72.65,52.2,38.44,94.5,71.99,25.13,44.63,108.79,97.17,29.62,9.15,6.93,35.45,69.5,48.39,13.15,42.02,51.61,75.64,46.6,67.83,6.4,29.23,18.16,15.61,3.47,86.77,49.37,12.6,27.1,22.89,23.77,60.6,15.77,29.18,69.92,35,88.23,9.86,431218.85,463517.04,308927.3,0.57728,0.52489
