year,region,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados,indice_de_gini__ingreso_autonomo_,indice_de_gini__ingreso_monetario_
1992,V,18.65,57.3,79.07,97.86,80.53,86.06,60.57,59.25,19,91.71,64.83,17.63,27.51,103.54,90.18,21.64,9.54,3.1,21.57,59.65,52.17,5.72,49.18,47.83,87.02,63.07,76.48,9.82,33.93,20.8,10.28,3.8,68.57,56.85,6.15,35.49,29.96,29.83,,,,,,,,208039.65,209810.54,118865.62,0.53465,0.52855
1994,V,16.57,69.27,87.17,99.02,87.96,90.8,65.73,53.09,25.63,92.55,63.99,24.75,31.82,104.91,84.73,29.6,9.66,2.51,38.87,60.84,52.41,7.54,48.46,47.59,74.82,73.57,76.81,9.36,32,20.19,12.97,3.8,68.36,52.45,8.22,26.67,21.59,23.2,,,,,,,,262674.4,264647.83,142874.07,0.49763,0.49208
1996,V,16.08,75.78,86.29,99.54,86.29,92.44,65.13,55.3,25.7,91.02,64.97,18.97,35.34,102.94,88.58,24.75,9.79,3.29,23.78,62.97,52.46,6.77,48.9,47.54,76.82,65.61,76.57,8.1,31.78,19.96,13.03,3.82,66.67,62.18,9.56,22.27,18.83,19.06,,,,98.29,,,3.64,332636.21,336157.65,176099.4,0.50147,0.49368
1998,V,14.46,76.25,87.67,99.27,87.67,91.98,69,54.91,27.05,92.47,70.08,22.07,35.81,103.48,98.36,27.78,10.07,3.25,25.72,65.01,56.34,10.26,50.56,43.66,72.34,63.19,76.41,8.05,31.54,19.42,12.13,3.84,64.14,63.38,10.66,18.76,15.68,15.42,,,,,,,,432809.66,436719.39,231660.29,0.5259,0.51851
2000,V,13.27,79.47,89.9,99.31,89.9,93.39,67.18,55.8,28.73,91.63,67.67,24.94,36.15,104.16,99.45,32.06,10.17,2.73,24.83,66.32,54.13,11.82,47.73,45.87,72.18,61.36,75.35,8.07,30.8,18.85,14.05,3.69,68.45,52.6,8.91,18.76,15.12,16.11,18.7,7.89,16.51,99.35,41.3,59.89,5.1,426637.24,431233.98,230278.93,0.50618,0.49842
2003,V,11.38,73.18,93.03,99.57,93.03,95.95,68.99,50.37,29.4,93.52,72.49,25.43,37.77,106.41,95.25,38.79,10.34,2.86,22.11,67.68,55.37,12.06,48.69,44.63,73.03,62.25,76.39,7.33,30.38,18.65,13.31,3.67,74.37,52.25,7.08,19.4,15.66,16.25,36.53,11.41,25.41,98.84,47.95,64.7,4.83,407327.35,412074.12,235368.58,0.47876,0.46956
2006,V,11.2,73.54,94.59,99.87,94.59,96.99,67.8,49.26,37.63,92.35,73.02,30.54,45.57,102.77,99.42,42.14,10.3,3.2,20.05,69,56.73,8.31,52.02,43.27,76.47,64.79,77.72,6.95,29.33,19.27,13.92,3.64,80.92,49.09,8.68,15.29,12.1,13.27,54.23,17.36,32.88,97.82,43.24,86.85,7.27,501881.47,508334.33,257967.63,0.49174,0.48144
2009,V,8.21,78.14,95.56,99.83,95.56,97.75,65.48,46.73,38.39,92.89,73.49,32.26,47.08,104.83,95.74,43.06,10.64,2.42,17.14,69.89,54.31,12.01,47.79,45.69,79.64,64.89,78.3,6.35,27.08,19.64,15.69,3.43,81.81,52.77,13.12,15.05,12.72,13.74,64.88,29.95,44.17,96.8,46.84,90.68,7.29,618370.62,636503.83,324925.45,0.49618,0.47515
1990,VI,25.05,47.3,54.28,90.08,59.98,61.66,55.96,60.23,13.55,92.25,52.82,6.17,19.14,104.16,75.52,7.04,8.03,7.74,37.06,52.05,52.31,8.71,47.75,47.69,79.24,,78.72,10.39,36.06,21.6,9.54,4.1,72.43,40.15,5.59,41.14,36.16,37.16,,,,,,,,116203.45,117451.24,64420.25,0.51485,0.50874
1992,VI,21.82,47.75,64.05,94.54,64.93,73.19,60.59,58.26,14.96,91.24,52.53,8.9,22.29,103.52,75.68,10.49,8.39,7.35,39.06,51.32,53.54,4.35,51.2,46.46,88.1,65.18,80.27,10.11,33.38,22.66,9.98,4.05,70.35,62.16,5.37,30.1,26.59,26.6,,,,,,,,206031.71,208038.04,107009.47,0.52603,0.51861
1994,VI,20.35,54.35,62.46,95.16,63.3,71.92,65.83,59.12,18.47,91.04,56.76,9.28,25.59,102.01,81.09,11.94,8.36,6.28,64.33,54.22,54.13,8.27,49.66,45.87,67.39,78.34,79.18,9.66,34.06,21.24,10.28,3.87,68.57,49.15,5.4,32.85,27.83,28.47,,,,,,,,219621,221799.06,125270.46,0.52486,0.5173
1996,VI,17.06,50.28,64.22,95.9,64.22,72.21,68.65,58.58,18.65,92.16,57.77,15.24,26.77,104.6,74.9,18.57,8.27,7.99,38.89,58.27,51.47,6.56,48.1,48.53,71.59,65.54,78.5,9.14,33.51,19.37,11.61,3.96,69.14,63.8,13.29,26.56,23.73,23.78,,,,98.56,,,4.65,283370.71,287288.87,146245.36,0.52266,0.51262
1998,VI,17.74,54.07,70.42,97.57,70.42,77.85,68.61,57.88,19.18,92.17,63.69,16.95,27.03,101.87,87.01,22.25,8.57,8.29,41.34,58.49,53.51,8.35,49.04,46.49,71.21,64.91,80.08,9.21,32.99,20.91,10.54,3.93,67.13,61.59,14.51,22.88,19.49,19.66,,,,,,,,341480.28,346469.05,186787.28,0.52872,0.51678
2000,VI,15.94,54.58,74.48,98.36,74.48,84.23,70.89,56.34,23.54,92.49,63.71,19.21,32.57,104.52,84.54,22.5,8.8,6.37,39.58,62.33,54.21,7.96,49.89,45.79,72.71,63.6,78.32,7.63,31.75,19.13,12.03,3.88,72.98,49.34,11.73,20.88,17.27,17.86,13.96,4.2,9.82,99.3,33.02,54.88,5.72,369313.25,375450.45,189797.94,0.50149,0.49124
2003,VI,14.21,58.13,78.68,98.95,78.68,88.8,70.66,56.11,29.5,94.41,68.32,17.92,36.89,107.83,94.32,25.92,9.08,6.52,36.13,65.32,55.32,7.91,50.94,44.68,78.01,68.05,80.23,7.38,30.28,18.6,12.08,3.63,77.32,54.92,12.29,19.23,15.5,16.03,33.61,6.04,16.83,98.9,41.65,60.75,2.75,364077.85,370429.08,209854.07,0.47394,0.4616
2006,VI,9.62,61.6,85.97,99.49,85.97,93.15,69.48,50.34,33.83,92.07,70.82,23.8,43.38,104.96,93.44,31.39,9.22,6.23,36.05,66.12,54.79,6.25,51.37,45.21,80.15,71.1,82.61,6.3,27.81,18.98,13.92,3.65,79.7,49.57,11.17,11.4,9.31,9.39,53.9,12.14,24.8,98.55,36.65,82.32,5.74,469128.53,477241.25,239820.44,0.47888,0.4648
2009,VI,8.51,68.12,88.48,99.68,88.48,95.18,68.01,50.1,34.17,95.51,65.04,24.78,38.82,112.01,83.39,31.82,9.49,6.03,33.02,64.24,54.72,7.48,50.62,45.28,82.6,69.41,81.3,6.56,26.16,18.95,16.47,3.47,81.81,49.75,13.59,12.79,10.74,11.32,66.97,17.97,33.39,98.1,36.96,88.09,9.5,560543.21,580144.97,318851.19,0.47377,0.44927
1990,VII,28.92,39.27,50.22,83.41,57.11,54.68,55.74,56.08,11.27,87.97,51.34,6.54,17.48,98.62,65.39,7.07,7.51,12.03,72.47,49.55,50.47,6.55,47.16,49.53,61.76,,68.57,9.82,35.91,21.38,11.05,3.97,81.08,35.38,4.95,42.76,37.24,37.72,,,,,,,,130593.14,132268.54,66999.67,0.59757,0.58873
1992,VII,28.13,37.32,57.64,89.63,58.7,60.84,62.3,59.05,11.92,86.58,39.61,6.6,19.45,102.76,53.89,8.05,7.68,9.34,71.56,49.1,54.54,5.15,51.73,45.46,70.02,51.95,73.11,10.55,35.83,20.28,10.75,3.97,75.51,50,4.01,39.75,33.65,34.25,,,,,,,,183882.14,185779.3,93826.12,0.55882,0.55064
1994,VII,21.84,41.19,64.04,93.87,65.02,71.02,64.65,56.93,18.22,90.53,48.76,10.88,25.54,103.01,67.17,12.93,7.82,9.56,68.18,54.55,54.17,7.26,50.23,45.83,63.08,66.63,74.4,9.05,33.79,20,11.63,3.83,76.48,45.15,9.95,39.48,34.87,34.42,,,,,,,,194524.5,196920.17,111129.35,0.55405,0.54503
1996,VII,21.34,48.34,63.26,94.78,63.26,70.49,66.61,57.6,19.92,90.9,55.24,10.57,28.85,103.37,72.16,12.55,7.96,9.51,64.67,56.57,54.08,4.93,51.41,45.92,59.82,52.45,75.27,9.22,34.49,19.22,10.9,4.04,71.43,57.31,13.95,32.57,28.59,29.05,,,,99.42,,,6.87,267730.27,272714.71,141598.15,0.55748,0.54414
1998,VII,21.56,50.13,66.96,95.9,66.96,73.06,70.3,56.97,25.54,93.44,58.61,13.84,31.67,104.29,78.35,17.75,8.09,10.57,64.59,60.75,55.01,10.32,49.33,44.99,62.79,54.67,75.39,7.86,33.04,18.77,10.93,3.87,75.5,59.72,16.02,29.26,25.1,24.92,,,,,,,,300291.74,306025.69,163799.15,0.534,0.51869
2000,VII,18.91,51.77,74.63,97.38,74.63,81.25,69.11,57.13,24.42,93.33,59.68,16.51,31.17,106.77,83.78,21.7,8.63,8,62.44,61.63,53.48,8.27,49.06,46.52,68.21,56,74.91,8.45,32.64,19.83,10.92,3.87,75.7,53.67,12.72,25.31,20.93,21.31,15.99,3.7,8.31,98.99,29.93,59.19,8.13,407133.38,413087.17,232872.58,0.58436,0.57352
2003,VII,16.82,53.72,76.93,99.1,76.93,85.06,72.53,52.93,29.29,95.05,67.2,18.69,36,108.77,89.96,23.89,8.74,7.27,63.04,65.09,55.68,9.37,50.46,44.32,69.61,55.59,73.26,7.32,31.39,19.03,12.08,3.79,83.24,51.38,12.78,23.09,19.71,20.49,33.69,3.73,11.55,98.56,37.75,60.03,3.63,372014.79,380270.83,199368.8,0.53866,0.52247
2006,VII,11.88,57.06,82.63,99.25,82.63,90.21,70.76,54.63,38.05,94.29,70.66,20.11,45.13,106.64,91.39,27.04,8.95,7.43,55.66,65.83,55.05,6.75,51.34,44.95,74.7,62.06,77.05,6.96,29,18.83,13.58,3.65,88.07,46.8,10.18,17.72,15.04,15.04,52.56,8.29,20.73,98.41,33.45,84,8.54,424914.33,434497.36,219687.67,0.5046,0.48683
2009,VII,9.25,64.94,89.26,99.6,89.26,94.87,70.24,52.29,42.11,93.44,73.08,23.54,49.53,104.3,92.88,30.97,9.05,7.73,47.23,66.49,52.3,9.16,47.51,47.7,74.71,59.29,80.11,6.55,26.82,17.83,15.14,3.37,88.13,51.87,10.47,20.74,16.77,18.3,65.38,13.62,30.49,98.39,31.4,86.51,8.46,495736.62,519683.62,310658.78,0.54155,0.50567
1990,VIII,28.99,63.83,52.81,90.57,58.43,65.3,63.39,55.11,12.55,91.79,57,9.44,18.17,102.95,80.62,11.36,8.28,8.55,68.84,51.48,48.31,10.08,43.44,51.69,75.27,,73.25,10.08,34.97,23.7,9.75,4.18,72.36,32.5,4.13,47.46,42.28,42.88,,,,,,,,127576.76,129113.42,70831.78,0.57646,0.56874
1992,VIII,28.18,55.93,59.25,89.46,60.3,70.88,65.8,53.01,15.9,90.41,52.06,9.65,23.33,105.02,75.96,12.19,8.28,8,66.07,54.19,48.87,8.67,44.63,51.13,78.31,57.94,73.99,10.13,35.46,21.74,9.78,4.1,72.03,48.72,7.75,45,39.25,40.35,,,,,,,,164247.9,166966.49,92938.17,0.54624,0.53507
1994,VIII,21.56,73.15,65.75,93.73,66.77,76.12,66.1,54.28,18.16,91.54,56.85,16.24,25.39,105.62,79,21.3,8.67,6.48,59.52,56.71,49.88,8.04,45.87,50.12,75.71,73.53,76.32,9.43,33.14,21.73,10.32,4.01,71.45,45.57,6.35,39.62,33.68,34.39,,,,,,,,222041.82,224963.12,123530.78,0.54528,0.5353
1996,VIII,20.66,72.42,68.36,92.39,68.36,78.08,68.4,59.08,21.74,90.75,60.66,21.83,30.69,101.84,80.73,28.01,9.01,6.67,57.73,61.42,49.72,7.27,46.1,50.28,73.84,63.33,76.36,8.78,34.31,20.25,9.34,3.94,68.02,56.02,9.25,34.07,29.44,29.6,,,,96.84,,,5.32,309408.05,314222.24,178592.36,0.58275,0.57199
1998,VIII,19.42,79.33,74.25,96.14,74.25,83.4,71.54,57.26,21.14,92.1,61.41,20.67,29.12,105.14,87.88,28.09,9.19,6.61,58.96,62.9,50.11,13.42,43.39,49.89,74.08,62.84,77.48,8.18,33.2,20.04,10.29,4.02,74.78,57.85,10.92,32.23,27.02,28.12,,,,,,,,369478.92,375968.56,219801.93,0.58839,0.57278
2000,VIII,17.27,76.2,76.92,97.62,76.92,86.99,72.73,54.43,23.59,93.88,64.65,21.82,30.82,106.78,89.25,30.25,9.39,5.9,57.86,64.98,49.93,12.33,43.77,50.07,71.7,61.68,76.51,7.85,32.52,19.4,10.66,3.83,76.93,50.61,12.82,27.13,22.06,22.18,15.58,5.92,16.06,96.94,36.2,50.5,5.91,421682.73,428406.73,265544.1,0.60322,0.59151
2003,VIII,15.28,71.11,81.09,98.48,81.09,90.23,71.64,54.69,29.02,94.45,68.24,23.96,35.29,107.69,90.07,35.55,9.54,6.25,54.16,65.51,51.08,10.99,45.47,48.92,73.84,59.92,76.41,7.41,31.24,18.83,11.52,3.77,80.96,49.07,11.43,28,23.27,24.23,33.08,7.37,17.64,97.69,38.56,61.21,4.11,385688.36,393644.69,234848.03,0.56014,0.54295
2006,VIII,12.19,75.24,86.96,99.33,86.96,93.86,72.55,49.99,33.46,93.54,73.57,29.34,41.99,107.07,98.85,38.97,9.75,5.87,50,68.57,50.71,9.92,45.68,49.29,77.19,64.45,77.99,6.58,28.66,19.16,14,3.72,84.9,47.58,11.51,20.68,17.32,18.22,51.4,14.86,28.29,95.96,39.93,83.73,7.46,448044.52,458359.89,251155.08,0.53123,0.51159
2009,VIII,9.35,78.84,90.79,99.56,90.79,96.01,69.86,50.67,36.35,92.66,71.12,32.09,46.38,107.26,96.76,43.48,9.91,5.19,44.64,70.15,50.78,12.59,44.39,49.22,78.57,62.78,79.53,6.22,27.4,19.38,14.66,3.55,86.66,52.86,11.53,20.97,17.66,18.38,63.86,23.65,38.69,96.13,41.86,87.83,9.23,517695.76,542616.65,306927.73,0.51413,0.47894
1990,X,24.23,71.14,46.88,80.86,49.05,63.73,55.15,55.81,9.58,88.17,47.08,8.18,15.15,99.44,61.47,10.33,7.79,7.26,71.01,47.92,51.13,7.74,47.18,48.87,85.34,,72.14,10.27,35.75,21.74,9.78,4.13,76.4,41.23,3.47,39.82,34.47,35.09,,,,,,,,143316.79,144855.97,70887.57,0.59794,0.58976
1992,X,22.18,73.84,58.11,85.39,58.77,71.74,64.85,53.58,13.19,88.54,47.32,7.65,19.96,101.6,67.13,10.09,7.93,7.32,64.32,49.99,52.15,4.74,49.68,47.85,77.01,54.39,68.47,9.96,34.39,21.69,11.11,3.97,58.95,60.18,4.52,34.8,29.86,30.75,,,,,,,,190201.08,192388.7,96550.41,0.53881,0.53021
1994,X,17.29,79.01,62.68,83.54,63.12,72.81,65.55,54.74,13.23,89.01,46.33,10.34,19.12,102.32,65.31,12.49,7.71,7.03,64.2,49.76,51.7,7.29,47.93,48.3,70.4,66.79,73.49,9.55,32.35,20.76,12.32,3.69,71.97,54.67,4.1,32.83,27.21,28.4,,,,,,,,222151.94,224992.99,127375.92,0.55941,0.55073
1996,X,21.28,81.13,60.48,89.28,60.48,78.55,71.49,54.53,16.23,90.74,56.37,11.8,22.64,104.05,78.49,15.44,7.98,8.08,62.84,56.57,50.66,6.18,47.53,49.34,75.06,55.63,71.14,8.87,34.71,19.77,11.43,4.02,71.44,64.97,10.37,32.26,27.04,28.11,,,,89.73,,,4.9,278867.08,284585.19,156713.28,0.56751,0.55323
1998,X,19.71,83.34,65.5,91.4,65.5,82.62,67.64,56.45,19,93.58,54.17,14.9,24.3,105.25,77.3,18.41,8.49,6.25,63.26,59.43,53.65,8.86,48.9,46.35,69.87,54.81,71.86,8.85,34.68,19.09,10.03,3.95,63.01,64.52,8.61,29.22,24.1,25.01,,,,,,,,316178.05,322453.07,185927.12,0.54955,0.53332
2000,X,15.73,88.43,72.18,92.71,72.18,88.05,68.89,55.98,18.18,92.13,52.9,14.74,27.58,106.95,75.46,20.16,8.5,6.49,53.02,63.05,54.32,11.47,48.09,45.68,75.59,59.02,73,7.75,33.81,18.04,11.31,3.8,71.64,52.95,10.06,25.61,21.49,22.64,13.25,5.21,10.9,90.94,29.38,48.37,4.27,344270.44,351936.49,196517.82,0.54609,0.53071
2003,X,12.92,87,74.4,96.03,74.4,90.16,73.59,56.58,28.69,93.51,65.16,18.68,37.17,107.3,89.35,26.89,8.97,5.42,48.15,66.25,53.46,8.39,48.98,46.54,76.39,57.95,68.53,7.36,33.06,17.69,11.67,3.77,78.15,53.19,11.15,21.82,18.3,19.15,34.27,7.08,16.49,85.37,41.02,59.14,4.31,406315.03,415740.64,244125.43,0.54921,0.53008
2006,X,10.66,87.04,80.89,98.08,80.89,92.76,73.68,51.98,30.91,93.2,66.77,21.95,39.42,106.4,90.84,29.61,9.07,5.45,42.43,66.36,56.68,5.03,53.83,43.32,79.5,60.64,71.24,6.33,29.59,18.77,12.89,3.6,84.15,48.81,10.45,11.84,9.4,10.49,53.45,9.3,23.73,79.83,39.06,81.9,5.89,524282.49,537004.93,248303.78,0.50806,0.48946
2009,X,9.51,88.57,86.35,99.07,86.35,95.34,69.88,50.27,36.5,92.91,66.7,20.16,44.71,107.31,94.41,26.68,9.06,5.23,35.92,66.34,55.32,10.53,49.5,44.68,76.5,53.99,71.17,6.6,28.41,17.84,14.76,3.43,86.13,51.68,15.93,14.2,12.31,12.64,63.62,18.12,31.96,79.16,39.09,86.02,8.48,553769.69,585014.31,295104.98,0.51595,0.47675
1990,XI,26.91,81.78,55.38,85.45,61.46,72.49,60.88,53.66,12.1,90.12,54.53,2.1,18.64,102.13,70.21,2.1,7.84,7.94,74.21,53.01,54.12,7.93,49.82,45.88,88.35,,74.69,11.45,39.64,19.29,7.53,3.79,71.31,46.63,6.01,32.79,27.31,27.06,,,,,,,,132683.81,134053.16,81789.03,0.52114,0.51438
1992,XI,20.5,79.19,55.54,78.92,56.21,68.62,61.15,57.61,13.13,88.13,52.11,4,19.45,105.13,81.48,4,7.72,6.33,64.42,51.31,55.72,5.3,52.76,44.28,85.16,62.8,73.96,11.96,36.68,21.88,8.45,3.62,56.11,62,5.33,30.59,25.48,26.09,,,,,,,,187984.59,190165.36,117956.62,0.53098,0.52214
1994,XI,23.36,78.65,67.91,89.86,68.29,81.01,67.36,55.25,16.01,86.89,60.87,3.36,26.72,99.04,87.92,4.48,8.1,5.94,68.45,54.4,59.79,8.25,54.86,40.21,76.38,73.63,71.17,11.42,37.93,20.72,7.03,3.76,53.24,51.43,7.18,30.04,25.76,25.23,,,,,,,,231489.21,234111.36,136123.83,0.53361,0.52536
1996,XI,21.98,89.17,74.5,90.61,74.5,86.89,62.05,58.91,21.8,90.74,52.71,9.6,27.1,101.25,84.82,11.45,8.19,6.22,67.52,57.46,59.68,4.57,56.95,40.32,82.04,63.23,73.35,10.83,36.9,19.97,7.88,3.92,56.44,67.76,9.51,22.44,18.88,18.75,,,,93.41,,,6.59,351397.68,356022.28,169097.3,0.50765,0.49892
1998,XI,18.97,90.5,76.76,93.5,76.76,87.81,66.35,57.96,30.82,90.73,68.1,5.84,39.71,100.36,94.01,6.18,8.28,7.9,59.76,63.58,58.61,4.87,55.75,41.39,78.62,61.66,73.81,8.84,37.28,17.46,8.41,3.69,63.62,67.54,14.53,15.15,12.51,12.32,,,,,,,,526605.95,533328.01,297386.86,0.59167,0.58139
2000,XI,15.25,89.52,78.08,89.29,78.08,89.83,67.52,58.54,32.13,90.39,69.23,16.65,41.5,101.5,90.43,19.63,8.81,5.63,59.43,66.63,61.35,5.28,58.11,38.65,81.78,67.86,73.39,8.47,35.11,18.13,9.54,3.59,63.88,56.37,17.97,14.25,12.16,12.31,12.27,4.81,13.73,91.82,40.74,45.48,11.77,466095.19,474941.76,269008.41,0.52578,0.51502
2003,XI,13.95,83.71,87.02,96.31,87.02,93.44,68.4,55.18,42.52,92.95,56.86,21.79,54.34,108.63,85.52,31.37,9.04,6.05,49.69,71.4,61.17,7.73,56.44,38.83,83.83,63.25,69.76,6.12,32.26,17.47,11.66,3.5,67.65,51.64,17.53,14.19,12.03,11.63,27.28,7.54,20.33,86.35,46.78,55.73,4.97,523186.69,534761.49,312342.53,0.54864,0.53406
2006,XI,11,85.43,92.78,97.52,92.78,95.98,69.12,55.35,46.31,93,69.98,21.01,52.46,107.94,93.89,27.32,9.36,3.63,46.7,69.65,60.2,2.87,58.47,39.8,84.58,65.4,68.54,8.11,31.79,19.78,11.12,3.45,78.32,48.2,17.25,9.22,6.75,7.18,55.75,8.69,26.27,87.33,42.61,85.86,8.82,541811.45,551622.38,288871.74,0.45633,0.44272
2009,XI,10.86,77.17,94.48,98.77,94.48,96.91,74.11,54.92,43.75,95.29,68.5,21.73,47.98,114.18,92.4,25.37,9.45,4.38,34.85,67.79,60.87,6.92,56.66,39.13,83.5,53.25,68.74,8.3,30.12,18.73,12.82,3.32,79.13,48.93,15.68,15.11,11.63,12.27,67.01,24.59,40.38,78.24,46.4,86.58,8.91,742670.3,763353.4,423103.72,0.57333,0.54834
1990,XII,14.35,95.03,88.02,97.06,89.4,94.24,68.97,57.53,17.16,91.15,62.7,9.39,24.68,103.4,85.66,10.43,8.84,3.18,5.14,57.56,54.08,7.93,49.78,45.92,90.97,,72.99,10.33,33.95,18.47,10.58,3.65,63.49,40.94,8.31,29.99,23.86,25.18,,,,,,,,158470.34,160216.24,84820.09,0.53994,0.53417
1992,XII,15.84,74.58,89.27,98.1,91.18,94.36,62.98,59.45,18.03,90.97,68.94,12.22,27.73,102.13,92.85,14.7,9.06,3.12,2.84,60.79,53.14,3.86,51.09,46.86,93.78,74.6,77.39,8.46,33.12,18.71,10.06,3.65,56.64,66.25,1.9,24.09,20.03,20.59,,,,,,,,245844.37,247414.82,138797.82,0.52575,0.52047
1994,XII,10.15,95.77,95.33,99.43,95.53,98.09,67.4,62.66,23.61,90.2,71.61,18.65,32.44,97.78,106.41,22.37,9.64,2.14,55.14,62.38,55.31,3.19,53.54,44.69,87.82,78.29,75.6,7.55,30.09,19.23,11.09,3.58,41.91,52.47,3.56,14.18,12.89,12.36,,,,,,,,306331.25,307430.68,170567.65,0.44462,0.44196
1996,XII,14.45,97.72,90.19,97.53,90.19,95.35,62.59,56.17,36.09,93.85,59.38,19.56,44.95,104.07,88.13,28.24,9.44,3.63,2.69,67.74,62.11,4.84,59.1,37.89,78.54,71.57,76.68,8.26,33.31,17.91,9.14,3.68,48.51,65.72,13.68,13.66,11.49,11.28,,,,96.04,,,2.6,421240.49,424152.91,220403.73,0.48805,0.48273
1998,XII,11.24,97.37,95.53,99,95.53,97.61,72.87,56.1,29.01,90.81,64.33,17.16,38.13,105.5,89.47,20.85,9.49,2.64,3.39,63.03,54.75,6.26,51.33,45.25,77.44,75.01,78.21,8.24,30.22,18.01,12.96,3.41,56.16,63.69,11.02,11.97,8.89,9.34,,,,,,,,502652.91,506001.08,267590.28,0.54081,0.53516
2000,XII,9.57,94.59,96.58,98.79,96.58,98.73,69.19,57.93,28.56,88.11,75.99,28.9,46.62,97.22,88.45,33,10.43,1.73,4.45,68.13,57.33,5.41,54.23,42.67,84.21,76.26,77.12,6.46,30.83,17.8,9.93,3.34,50.59,50.78,14.68,11.09,8.46,8.65,26.06,14.76,28.97,93.7,49.25,59.32,8.4,725321.02,728164.4,388320.51,0.585,0.58176
2003,XII,6.97,92.75,97.76,99.03,97.76,98.8,75.27,55.53,41.73,95.59,77.68,24.15,47.67,106.68,97.79,42.5,10.19,1.35,2.24,69.54,58.93,6.57,55.06,41.07,81.08,72.66,76.21,6.35,27.88,16.81,13.95,3.31,55.16,50.21,11.73,12.29,8.44,10.31,38.36,13.04,34.61,89.05,51.39,54.03,3.4,580176.29,583035.51,330726.76,0.5303,0.52625
2006,XII,4.48,80.6,97.51,99.04,97.51,98.32,70.4,54.38,46.08,94.94,80.11,34.8,53.94,106.17,110.5,53.38,10.25,2.76,3.85,74.18,57.87,4.74,55.13,42.13,83.8,71.58,77.89,6.32,26.32,19.13,14.89,3.32,65.51,51.76,7.44,6.29,5.64,5.67,58.37,14.27,46.74,84.61,51.23,77.42,6.2,672820.79,677326.3,331248.25,0.49875,0.49275
2009,XII,10.24,86.85,97.51,99.62,97.51,98.4,73.05,54.3,43.5,93.57,77.61,21.92,49.48,104.82,95.08,35.47,10.19,2.14,2.91,66.67,61.39,8.26,56.32,38.61,86.68,63.5,76.58,8.19,27.24,17.66,13.82,3.23,74.86,54.65,10.96,9.06,7.85,8.52,73.14,33.29,52.98,77.31,56.02,89.12,10.3,750053.19,762561.22,420469.92,0.51743,0.50363
2006,XIV,11.68,85.44,81.44,98.28,81.44,93.12,68.14,51.51,33.98,92.4,69.17,22.13,43.33,109.4,87.11,35,8.99,6.24,48.16,67.66,52.03,8.16,47.78,47.97,75.18,56.63,72.19,6.49,30.2,16.87,14.43,3.62,83.46,51.84,9.64,18.77,15.48,16.69,48.63,10.69,23.77,84.91,39.91,83.39,7.73,434559.96,445046.6,232112.44,0.53066,0.51192
2009,XIV,10.51,78.82,85.19,98.32,85.19,96.13,72.1,47.93,35.95,93.59,64.78,25.59,41.94,112.16,84.09,31.64,9.26,5.25,46.12,66.88,48.24,11.29,42.79,51.76,79.61,60.59,73.59,7.3,30.26,18.31,14.37,3.37,86.02,54.14,10.18,20.43,16.77,19.11,57.82,18.67,31.37,83.27,36.48,89.08,9.17,445063.19,472960.53,302015.16,0.52267,0.47838
2006,XV,17.9,63.99,89.86,98.42,89.86,93.97,61.26,40.31,45.76,90.78,78.62,32.99,58.68,98.3,98.56,47.83,10.49,2.39,39.27,72.31,57.7,8.64,52.71,42.3,76.66,56.51,69.92,6.34,30.6,17.66,13.8,3.8,80,46.26,14.47,18.59,15.58,16.43,45.2,13.02,32.4,77.81,43.76,89.41,5.34,544836.64,552785.06,203228.35,0.53642,0.52496
