year,region,zona,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
2000,RM,R,19.25,52.32,53.08,98.02,53.08,97.65,60.93,60.85,19.21,93.42,58.79,9.59,27.05,104.37,80.20,11.39,7.99,8.09,70.18,59.31,54.25,6.04,50.97,45.75,69.04,58.2,80.3,8.0,33.5,18.9,11.6,4.0,76.6,50.0,11.4,12.1,10.1,9.9,14.7,3.4,6.6,1.9,22.2,52.0,4.0,389721,396701,198042
2003,RM,R,11.92,61.48,64.93,99.00,64.93,97.55,68.43,62.90,24.28,93.82,67.33,12.85,32.53,105.68,88.93,16.86,8.95,6.15,52.40,63.81,58.30,5.12,55.32,41.70,71.64,61.9,79.0,7.8,33.2,18.1,10.3,4.0,76.2,55.2,9.3,8.5,7.7,7.3,32.1,7.7,16.6,1.9,35.4,55.0,1.9,627823,633801,315965
2006,RM,R,9.97,57.17,75.81,99.51,75.81,98.42,64.13,58.35,30.95,93.85,67.79,18.70,38.23,107.17,85.96,22.53,8.96,7.30,17.50,64.20,56.38,4.67,53.75,43.62,74.83,61.9,77.1,6.9,29.5,17.4,13.7,3.8,80.2,47.5,8.4,5.8,4.5,4.3,53.0,10.4,24.4,2.2,29.7,74.8,6.7,672468,680271,362079
2009,RM,R,7.13,68.12,85.25,99.86,85.25,99.07,65.76,60.94,24.93,94.34,61.75,19.96,29.24,107.78,79.78,24.11,9.83,3.61,16.85,60.42,55.76,6.55,52.11,44.24,77.62,65.7,79.4,9.2,31.3,18.6,13.2,3.8,78.8,54.7,11.5,5.4,4.9,4.8,64.3,23.4,40.8,2.1,40.0,81.0,3.7,751628,770361,433119
1990,V,R,26.04,50.39,26.34,91.69,28.48,75.39,37.27,61.62,8.90,89.46,43.62,5.84,17.29,102.83,56.05,6.49,7.01,9.07,78.75,49.21,55.49,3.73,53.42,44.51,77.97,,84.2,10.7,37.5,20.0,9.1,3.9,85.3,36.1,1.2,39.7,32.0,31.2,,,,,,,,101235,102588,55055
1992,V,R,21.06,36.32,24.54,86.40,25.87,86.86,54.89,56.05,14.76,90.20,53.22,4.62,24.35,104.03,68.42,4.62,7.03,9.09,63.85,53.00,52.13,4.44,49.82,47.87,76.73,55.7,75.5,9.8,34.3,20.0,10.9,3.8,79.0,57.7,1.5,28.0,24.0,23.9,,,,,,,,185392,187807,105292
1994,V,R,21.60,48.35,38.81,93.46,40.34,93.37,61.51,55.75,17.12,91.17,52.84,8.71,25.40,104.45,70.27,9.62,7.25,8.03,62.88,54.24,51.38,7.72,47.41,48.62,57.01,69.3,74.9,8.9,32.6,19.8,13.7,3.8,86.7,49.6,9.2,19.9,16.4,15.9,,,,,,,,167268,170232,96511
1996,V,R,24.44,47.02,34.71,96.18,34.71,94.42,60.80,53.96,18.30,88.11,49.04,7.73,30.24,105.32,65.78,8.57,7.21,8.56,73.63,53.13,52.08,5.23,49.36,47.92,73.08,63.5,80.8,9.7,33.1,20.7,11.7,4.1,88.1,63.3,5.5,22.3,20.4,19.6,,,,1.5,,,4.1,202374,207217,106436
1998,V,R,20.82,55.97,36.54,95.25,36.54,93.58,67.91,56.95,19.74,93.00,59.72,6.14,26.21,104.22,77.43,7.38,7.14,11.42,72.37,55.97,53.59,7.88,49.36,46.41,62.51,55.6,79.0,8.6,32.6,19.3,12.5,4.0,82.7,57.9,11.7,19.2,16.8,15.8,,,,,,,,231742,238731,124225
2000,V,R,19.43,50.51,43.31,93.72,43.31,92.64,68.04,57.83,24.40,93.20,58.36,11.89,31.96,108.57,83.55,13.09,7.40,10.09,67.50,60.46,52.38,9.07,47.62,47.62,63.12,53.7,78.4,7.2,31.0,18.2,14.0,3.8,85.7,51.4,12.1,18.6,15.3,15.1,11.3,1.4,3.6,0.6,23.7,48.4,4.9,258240,266362,140639
2003,V,R,15.28,52.51,60.97,97.72,60.97,96.27,72.57,53.05,25.09,93.33,70.03,9.08,33.23,104.84,95.21,12.64,7.84,9.05,64.13,59.66,53.91,5.85,50.75,46.09,69.85,59.0,77.8,7.5,29.6,19.3,14.2,3.9,88.3,52.7,10.3,11.7,10.2,9.8,28.5,2.1,8.1,0.7,28.5,55.3,5.3,319443,328711,168825
2006,V,R,11.76,63.21,73.49,99.49,73.49,97.31,67.11,55.86,31.75,93.96,69.89,13.78,39.07,107.16,86.24,16.16,8.35,7.15,58.63,64.27,54.24,3.74,52.21,45.76,75.90,65.7,80.7,7.3,30.4,15.9,14.8,3.7,88.7,50.8,8.9,6.8,5.8,5.7,48.6,4.0,16.0,1.6,28.6,70.8,4.8,389568,398900,199323
2009,V,R,11.06,71.52,86.39,99.53,86.39,97.69,63.89,63.46,31.85,93.67,77.85,34.16,42.68,106.31,99.91,43.47,9.71,5.35,39.18,75.49,55.77,6.00,52.42,44.23,76.06,61.6,83.5,6.9,31.7,16.8,10.3,3.6,88.3,57.7,9.1,5.1,4.9,4.9,69.3,22.7,36.7,2.1,42.6,89.0,4.6,601353,624057,280740
1990,VI,R,26.81,32.53,20.78,76.96,22.59,66.92,51.20,64.01,7.51,93.83,36.45,3.48,11.11,108.48,51.23,4.28,6.67,12.25,59.72,44.34,49.68,5.93,46.74,50.32,69.09,,82.1,10.6,34.5,22.8,10.8,4.0,84.9,40.3,4.2,39.2,34.5,34.9,,,,,,,,93443,94720,50693
1992,VI,R,30.50,23.98,21.24,87.56,22.00,79.19,51.14,61.31,7.90,91.47,36.97,1.77,14.89,104.50,53.55,2.03,6.40,13.55,65.25,45.17,54.31,3.25,52.54,45.69,85.20,57.2,85.9,9.9,35.2,23.3,8.6,4.1,83.0,55.1,4.6,32.4,29.1,28.4,,,,,,,,150730,153079,76575
1994,VI,R,22.64,34.63,28.61,87.52,29.05,74.19,61.24,60.55,12.35,91.75,44.23,4.71,18.43,105.20,57.20,4.71,6.96,11.76,75.89,47.39,52.91,7.55,48.92,47.09,57.70,73.9,78.9,10.8,34.7,22.2,10.9,3.9,76.3,47.9,5.5,26.9,23.3,22.8,,,,,,,,197039,200270,115590
1996,VI,R,21.16,25.35,23.13,90.89,23.13,78.10,62.98,55.89,10.70,93.37,52.26,6.10,16.52,107.66,66.90,7.19,6.50,14.21,64.44,52.57,47.67,4.61,45.47,52.33,63.23,56.5,77.4,8.8,32.2,18.7,13.1,4.1,78.3,61.1,13.7,22.8,20.4,20.9,,,,0.7,,,5.6,221752,227544,101016
1998,VI,R,23.22,27.90,32.25,93.78,32.25,78.40,65.88,57.06,10.50,93.99,56.15,6.80,17.67,105.14,78.31,8.10,6.68,16.86,67.60,55.93,49.48,5.28,46.87,50.52,66.24,59.0,83.5,7.8,31.3,19.2,13.5,3.9,79.6,57.0,13.2,18.6,16.2,15.9,,,,,,,,225472,233340,118311
2000,VI,R,19.89,29.92,35.91,96.32,35.91,85.23,70.04,56.83,16.78,94.21,55.13,9.15,24.03,109.62,79.20,10.00,7.03,11.00,66.34,56.51,51.75,6.63,48.32,48.25,63.75,56.3,81.4,7.8,30.8,19.1,13.7,3.9,85.3,50.7,12.4,19.0,15.3,16.1,9.1,0.3,1.7,0.3,21.8,49.4,7.7,271099,280473,124583
2003,VI,R,16.31,30.84,46.50,97.68,46.50,90.43,74.92,57.59,26.84,94.39,63.43,10.04,35.06,107.67,81.72,10.94,7.14,11.85,64.25,61.30,51.69,7.28,47.93,48.31,71.07,63.4,81.6,6.6,29.6,16.5,13.9,3.7,87.8,58.1,9.4,17.4,13.7,13.4,24.5,0.5,3.3,0.6,26.3,50.8,3.1,253594,264041,143525
2006,VI,R,10.56,38.20,62.14,98.66,62.14,93.41,68.75,53.66,28.47,93.58,66.27,14.45,35.71,107.21,88.68,18.03,7.74,11.50,58.42,60.46,51.97,3.99,49.90,48.03,78.00,69.4,85.1,6.1,26.9,18.0,15.1,3.7,90.2,47.5,9.7,6.7,6.0,5.7,48.2,4.0,12.0,1.1,23.7,70.4,5.6,360649,372869,186742
2009,VI,R,9.26,49.37,73.80,99.30,73.80,95.06,65.33,51.69,28.18,96.86,65.69,13.55,31.65,111.98,83.18,16.03,7.95,9.95,53.54,58.84,51.43,5.49,48.61,48.57,79.76,68.1,85.6,6.1,24.5,17.5,18.5,3.4,91.6,54.6,12.0,6.9,6.1,6.2,63.9,5.3,18.1,1.2,21.1,80.3,10.3,395139,421937,240597
1990,VII,R,36.66,13.54,6.43,61.56,8.34,68.91,42.68,58.82,5.41,84.70,24.68,0.24,9.19,95.81,35.32,0.24,5.35,19.88,88.81,38.60,48.88,5.08,46.39,51.12,33.86,,65.8,10.4,36.1,23.0,10.5,4.1,88.4,35.4,3.3,41.2,35.7,35.8,,,,,,,,100171,102054,47384
1992,VII,R,36.58,14.61,14.61,74.47,16.45,69.36,57.89,63.68,5.15,85.32,22.14,0.76,10.05,101.37,32.06,1.02,5.55,16.40,88.51,41.46,53.27,2.88,51.74,46.73,57.87,33.6,73.3,11.2,37.5,20.5,9.9,4.1,87.3,47.6,4.4,40.4,34.7,34.9,,,,,,,,133458,135929,66130
1994,VII,R,27.74,18.91,21.06,84.73,22.08,79.53,58.35,58.57,10.35,88.60,29.64,1.97,15.86,101.71,39.68,2.18,5.95,15.75,86.98,44.94,52.09,5.46,49.25,47.91,43.41,54.4,71.8,10.0,34.9,20.1,12.0,4.0,85.0,45.3,10.9,39.9,35.3,35.0,,,,,,,,134561,137613,72572
1996,VII,R,24.81,21.51,14.74,86.06,14.74,71.20,57.61,57.02,11.19,91.06,40.21,3.54,18.41,101.64,51.09,3.63,5.96,16.23,83.97,48.44,54.10,3.20,52.37,45.90,43.46,36.0,74.6,9.7,34.5,19.2,11.0,4.3,76.3,56.2,14.2,31.6,29.0,29.0,,,,0.7,,,9.0,171689,178773,80318
1998,VII,R,24.36,20.09,23.22,90.28,23.22,77.42,64.72,58.45,17.26,91.75,41.38,3.71,23.37,104.04,52.83,3.82,5.90,19.36,85.86,53.23,52.51,9.64,47.45,47.49,43.40,36.1,71.0,7.4,33.7,17.3,12.6,3.9,84.7,57.3,13.3,28.2,23.8,23.8,,,,,,,,187098,194954,96158
2000,VII,R,25.64,24.15,34.06,93.01,34.06,85.78,64.83,57.88,15.31,93.06,49.72,5.09,20.77,107.39,70.15,5.79,6.32,15.33,84.10,54.51,50.40,6.46,47.15,49.60,52.67,39.7,74.0,7.9,32.2,19.2,12.5,4.0,85.7,54.5,14.8,24.0,20.7,20.1,9.6,0.6,1.9,0.7,16.4,45.1,9.0,298236,307121,154567
2003,VII,R,19.43,27.50,42.31,97.54,42.31,88.58,69.93,56.27,19.54,92.88,57.35,6.40,28.24,108.92,76.77,7.95,6.86,12.90,83.10,58.67,53.06,5.95,49.90,46.94,58.35,44.5,73.2,7.1,31.2,18.4,12.8,3.9,90.5,55.5,15.7,18.8,16.2,16.4,24.6,0.4,3.2,1.1,25.2,43.1,3.6,280204,292071,129928
2006,VII,R,14.40,33.89,59.87,98.29,59.87,90.67,68.02,57.03,22.68,93.47,68.54,7.62,31.73,106.26,87.66,10.37,7.13,12.89,75.95,60.09,51.03,4.98,48.49,48.97,68.57,56.6,77.3,6.1,27.8,17.0,16.0,3.7,93.8,48.6,13.2,13.7,11.9,11.9,44.1,0.9,6.2,1.3,20.0,70.3,9.7,319305,332646,164084
2009,VII,R,9.49,43.95,71.90,98.92,71.90,95.99,67.86,56.03,30.97,93.92,70.73,14.62,36.62,105.41,88.70,16.41,7.45,11.72,68.50,61.05,50.34,7.61,46.51,49.66,64.53,49.0,78.3,5.9,25.5,17.0,16.9,3.4,95.6,55.1,13.0,13.3,11.1,11.6,60.3,3.7,13.8,1.7,17.3,78.5,8.7,348266,379719,213494
1990,VIII,R,29.16,35.96,12.13,68.84,15.18,66.79,55.90,52.57,5.13,92.40,33.81,3.67,7.39,100.84,44.17,3.73,5.98,19.18,83.20,40.83,48.54,10.95,43.23,51.46,51.04,,58.9,10.1,34.3,22.7,12.1,4.1,80.9,31.6,5.8,43.6,38.6,37.9,,,,,,,,121389,122516,65444
1992,VIII,R,30.18,37.90,16.77,61.45,17.36,77.95,62.08,53.37,6.16,88.28,30.05,2.54,11.59,103.52,43.67,2.71,5.95,15.81,86.40,45.23,43.48,4.85,41.37,56.52,66.23,37.0,60.0,10.0,35.7,20.0,12.4,4.1,81.7,45.0,7.4,41.4,35.2,35.8,,,,,,,,123100,126577,66126
1994,VIII,R,26.35,52.88,21.87,75.34,22.65,80.65,61.40,56.11,7.48,90.29,36.52,4.26,12.53,104.13,47.31,4.91,6.17,14.63,79.41,47.51,45.72,6.46,42.76,54.28,61.59,57.7,65.7,10.2,35.8,18.7,11.8,3.9,86.2,44.8,6.5,37.6,31.4,31.6,,,,,,,,146944,151285,80614
1996,VIII,R,24.74,45.98,10.68,65.52,10.68,81.27,64.75,52.18,6.88,87.10,32.86,4.29,11.44,103.65,52.85,4.85,5.75,16.70,82.41,47.95,42.66,5.47,40.33,57.34,49.17,33.5,63.1,10.0,35.4,18.6,14.0,4.0,88.6,49.4,7.0,39.0,32.2,31.1,,,,8.7,,,8.8,164952,172794,85479
1998,VIII,R,28.07,55.04,12.32,80.86,12.32,85.09,68.99,51.51,6.46,91.65,43.82,7.78,10.81,110.97,64.01,8.55,6.12,16.19,80.85,56.37,42.79,15.32,36.23,57.21,48.19,34.0,68.8,7.7,35.0,18.5,13.3,4.3,95.1,52.6,8.6,39.9,34.8,36.0,,,,,,,,217927,231684,148976
2000,VIII,R,23.43,50.51,17.67,88.30,17.67,90.25,68.04,54.84,8.29,92.99,45.94,4.22,12.31,109.48,62.99,5.31,6.22,14.81,82.24,54.36,44.89,11.04,39.94,55.11,50.35,35.5,68.2,7.9,33.3,18.0,13.1,4.0,92.6,54.8,12.1,30.9,25.3,25.1,6.4,0.3,1.0,4.3,15.7,30.9,5.6,206054,219191,108194
2003,VIII,R,16.79,51.37,30.44,93.86,30.44,92.03,73.73,55.32,15.95,93.58,56.23,7.39,22.63,108.62,80.22,9.05,6.56,15.58,80.48,59.92,44.98,8.58,41.12,55.02,54.72,35.6,65.5,6.5,31.0,16.2,14.9,3.8,92.9,51.8,11.5,28.4,23.5,23.9,22.2,0.3,2.3,6.0,21.7,37.9,4.9,227280,242943,137104
2006,VIII,R,13.24,61.27,45.71,97.60,45.71,94.82,74.52,53.78,21.07,93.93,67.55,10.95,28.56,109.23,90.83,13.55,7.06,14.05,73.91,62.68,42.63,8.07,39.19,57.37,65.08,46.9,70.4,6.2,28.9,15.7,17.3,3.7,95.5,49.9,10.7,19.4,15.6,16.5,39.6,1.3,6.9,6.4,21.2,66.7,9.0,267101,287171,154225
2009,VIII,R,9.75,62.18,62.22,98.11,62.22,96.82,71.22,55.22,16.85,91.52,68.19,13.79,27.36,105.58,95.38,15.44,7.51,11.18,64.25,60.09,43.93,11.16,39.03,56.07,67.59,45.7,74.0,6.3,26.2,17.2,18.0,3.5,94.0,54.9,12.9,17.9,15.2,15.5,56.9,3.1,12.7,6.0,16.9,70.5,11.3,337093,375943,215832
1990,X,R,26.55,65.68,16.38,54.09,18.26,71.73,48.17,57.96,1.49,85.33,30.79,0.36,2.35,95.69,36.53,0.63,6.09,11.17,82.91,38.56,50.65,5.45,47.89,49.35,79.84,,68.8,9.9,36.2,20.0,10.8,4.2,84.3,40.1,2.9,30.0,25.2,25.7,,,,,,,,150788,152598,71233
1992,X,R,27.41,68.23,20.87,62.96,22.25,77.19,62.16,55.50,3.47,86.75,30.42,1.68,6.07,101.06,41.26,2.94,6.25,10.60,80.44,40.58,49.67,2.79,48.29,50.33,70.60,43.5,63.2,10.4,35.6,21.3,11.0,4.2,67.9,60.1,3.7,27.2,23.4,23.4,,,,,,,,162020,164663,72010
1994,X,R,20.37,72.63,20.24,55.82,20.74,80.21,63.96,58.49,3.36,87.21,23.50,3.26,4.97,96.99,35.37,3.26,6.00,10.61,80.10,36.48,50.43,5.51,47.65,49.57,61.76,52.5,69.1,10.4,31.0,21.4,12.6,3.7,82.7,55.3,5.3,25.4,20.5,22.3,,,,,,,,178523,181870,96693
1996,X,R,23.22,76.52,21.34,69.12,21.34,85.39,66.28,54.09,4.14,90.34,43.42,2.87,7.28,103.94,64.17,2.87,6.22,12.11,68.05,49.27,45.94,3.52,44.32,54.06,67.68,39.1,64.0,9.2,36.3,19.4,12.4,4.2,84.5,63.5,11.4,30.5,26.3,26.7,,,,17.9,,,4.8,184898,193479,102510
1998,X,R,22.41,76.90,25.83,75.25,25.83,83.57,62.30,55.62,10.74,93.56,42.07,5.27,13.42,105.07,66.54,5.27,6.61,9.46,79.06,53.40,50.92,6.77,47.48,49.08,60.26,38.8,60.9,8.7,34.8,18.7,11.4,4.1,72.8,59.7,6.7,25.0,19.5,20.3,,,,,,,,237259,245804,137283
2000,X,R,15.96,86.01,31.79,77.69,31.79,91.24,61.87,57.97,4.39,91.01,44.22,5.13,9.79,106.25,59.20,5.62,6.66,9.30,60.60,56.17,49.85,6.75,46.48,50.15,73.30,49.8,64.8,7.9,34.2,16.3,14.2,3.8,80.2,53.5,11.3,18.3,15.1,16.1,10.1,0.3,1.7,13.6,16.7,25.2,4.7,256058,267348,133661
2003,X,R,12.50,86.05,41.39,88.74,41.39,92.30,76.29,58.27,13.40,94.20,54.21,8.25,17.77,110.18,72.35,11.06,7.09,8.11,56.47,59.13,47.24,5.08,44.84,52.76,72.45,43.4,56.9,7.0,31.7,16.2,15.2,3.7,87.6,54.5,10.1,17.5,13.9,14.7,26.7,1.4,5.6,23.4,26.4,38.9,5.3,299779,314512,188064
2006,X,R,10.42,87.53,49.26,95.01,49.26,94.92,75.30,56.55,15.81,93.32,62.73,9.32,20.91,106.80,86.41,12.06,7.49,8.35,50.04,60.65,49.78,2.71,48.43,50.22,78.01,50.7,60.5,6.5,29.0,15.2,16.5,3.5,89.8,49.8,8.2,6.2,4.9,5.7,46.6,1.9,10.9,26.6,25.5,64.7,7.1,456219,476024,215126
2009,X,R,8.17,87.00,61.74,97.12,61.74,95.72,71.73,56.76,16.27,94.29,63.03,12.18,21.49,111.93,85.92,14.70,7.70,7.29,48.02,60.45,51.02,6.98,47.46,48.98,76.49,39.3,55.6,6.6,27.8,14.8,17.9,3.4,92.7,53.3,14.5,6.1,5.2,5.6,60.3,6.2,16.4,28.4,23.4,78.7,9.6,537098,578298,288862
1990,XI,R,21.69,80.72,33.33,54.62,34.54,76.28,55.02,49.00,4.69,85.22,46.51,0.00,8.59,93.04,53.49,0.00,7.19,9.52,87.32,37.37,60.21,9.20,54.67,39.79,87.67,,75.3,12.9,34.4,22.8,7.8,3.3,64.3,47.8,5.5,14.1,11.2,10.3,,,,,,,,126829,127879,74240
1992,XI,R,24.17,69.58,6.67,37.92,7.08,74.18,57.08,59.17,4.55,88.42,20.37,2.20,5.45,110.53,35.19,2.20,5.34,11.82,85.61,37.71,51.09,4.98,48.55,48.91,80.63,42.3,65.5,13.2,33.5,21.6,11.0,3.2,60.2,62.7, ,27.8,21.7,21.6,,,,,,,,132848,135201,82559
1994,XI,R,22.99,60.11,25.76,63.99,26.59,79.98,67.04,49.86,15.75,88.64,42.86,0.00,23.97,100.00,57.14,0.00,5.93,13.18,74.52,48.50,57.92,4.80,55.14,42.08,64.31,60.3,60.5,9.9,34.8,17.8,11.6,3.2,57.6,55.8,4.1,20.7,17.5,17.1,,,,,,,,142521,146546,99952
1996,XI,R,19.39,84.12,37.33,61.07,37.33,84.56,64.79,55.86,23.19,92.02,41.92,3.21,25.95,101.72,49.02,3.89,6.41,9.33,82.28,53.70,61.30,3.99,58.85,38.70,65.99,38.6,59.5,10.1,36.6,16.5,11.2,3.5,58.5,76.1,12.3,12.3,8.6,8.7,,,,11.4,,,8.9,294841,299688,123492
1998,XI,R,16.51,81.73,35.11,71.99,35.11,91.18,68.59,47.48,24.25,90.82,32.73,2.83,29.35,106.81,48.59,3.50,5.87,15.65,82.22,55.32,57.29,4.07,54.96,42.71,59.01,37.9,59.6,9.4,33.0,16.2,15.0,3.2,71.6,69.1,17.7,8.0,5.8,5.8,,,,,,,,335416,345515,166699
2000,XI,R,11.52,81.65,37.15,55.62,37.15,86.67,65.10,50.74,29.90,90.09,47.68,11.99,35.80,111.95,63.15,13.13,6.24,11.52,76.26,60.66,61.57,3.00,59.73,38.43,76.58,39.9,49.9,7.4,30.6,16.0,15.1,3.1,77.4,62.9,33.4,8.9,6.7,6.5,4.4,0.4,1.6,12.8,25.9,24.2,13.2,373447,383979,229009
2003,XI,R,10.96,83.23,50.87,82.32,50.87,93.42,66.30,52.12,38.71,90.59,48.19,10.23,49.33,109.23,76.29,11.94,6.84,11.10,77.69,63.30,55.81,5.37,52.81,44.19,80.41,45.3,52.4,6.5,28.3,15.8,16.2,3.0,74.2,52.2,16.0,11.0,9.0,8.4,12.0,1.2,4.2,18.3,22.9,43.7,5.5,311195,336134,219560
2006,XI,R,8.46,79.93,67.90,86.18,67.90,97.34,71.31,55.43,47.28,89.99,62.85,7.84,57.69,107.32,88.55,10.26,7.26,6.86,67.61,69.00,57.00,2.09,55.81,43.00,86.06,51.1,48.4,5.3,27.0,12.4,19.4,2.9,80.9,49.2,16.2,7.7,6.7,7.1,38.8,1.7,10.9,14.7,24.9,68.9,9.7,421031,435600,254489
2009,XI,R,5.99,65.75,75.23,93.33,75.23,98.21,74.25,50.39,40.99,90.92,77.98,14.06,50.53,100.08,106.57,16.00,8.23,6.77,61.02,65.26,58.32,1.71,57.32,41.68,81.69,43.1,50.6,5.5,22.8,12.8,23.6,2.5,79.6,55.8,11.4,7.4,4.9,4.9,49.6,9.0,22.0,16.5,22.5,60.3,7.0,614203,639729,401661
1990,XII,R,12.39,94.25,38.94,70.80,42.92,95.14,46.90,51.77,2.86,90.36,35.71,1.54,5.71,114.46,52.38,3.08,6.90,6.63,13.11,46.92,56.63,2.48,55.22,43.37,82.54,,68.7,9.4,29.5,17.4,13.6,2.9,68.9,33.3,2.9,23.2,14.6,14.2,,,,,,,,120748,122303,68667
1992,XII,R,11.54,69.23,54.23,80.77,57.31,93.55,43.85,48.85,6.67,83.33,40.00,3.95,17.33,101.19,47.50,5.26,7.30,6.06,4.17,43.64,63.47,3.45,61.28,36.53,90.67,76.4,75.8,8.4,26.1,20.3,11.8,2.9,74.4,66.7,1.3,14.6,9.6,8.9,,,,,,,,290640,292065,136060
1994,XII,R,11.00,94.81,70.54,89.21,74.27,96.86,40.87,51.66,20.14,94.76,43.94,2.19,25.69,111.43,62.12,2.19,8.40,2.74,77.85,56.73,66.76,1.41,65.82,33.24,87.84,78.9,76.9,8.6,29.2,18.0,9.8,3.0,56.7,54.3,8.3,8.3,5.6,5.5,,,,,,,,311692,313372,164939
1996,XII,R,12.63,91.17,42.22,81.59,42.22,95.77,53.93,47.78,15.70,87.91,49.76,9.28,29.89,96.59,72.73,9.28,6.98,7.31,4.64,52.83,65.30,3.77,62.84,34.70,70.70,64.6,74.3,6.8,25.7,18.2,14.8,2.7,62.7,60.9,12.9,6.9,4.0,3.7,,,,2.6,,,3.2,316388,318689,151813
1998,XII,R,14.29,94.48,49.97,76.61,49.97,99.60,43.45,53.86,19.27,92.15,59.66,10.81,27.32,104.63,76.90,13.75,8.18,5.49,7.20,59.26,58.39,7.71,53.89,41.61,85.76,74.6,73.8,7.2,28.4,17.7,12.3,3.1,59.5,62.6,9.3,6.8,4.6,5.7,,,,,,,,792037,795068,539640
2000,XII,R,6.35,96.59,39.46,71.35,39.46,99.38,53.50,48.18,21.99,96.00,66.67,12.19,27.84,107.11,108.81,12.19,7.59,3.94,1.20,63.78,62.87,3.18,60.87,37.13,87.39,72.5,75.1,5.2,19.4,11.8,23.0,2.7,68.2,56.9,1.7,5.9,5.3,5.1,14.5,3.8,6.8,7.0,20.5,60.0,6.2,592155,595170,298979
2003,XII,R,4.92,95.78,68.37,77.80,68.37,99.83,43.41,44.23,35.53,92.64,82.10,26.57,40.61,98.39,88.65,26.94,8.53,7.55,4.17,65.01,63.58,2.62,61.92,36.42,86.05,65.3,69.3,7.5,24.0,11.5,20.6,2.6,47.8,55.0,5.1,4.6,3.3,3.5,29.6,5.2,18.1,12.2,32.0,52.6,2.6,740822,744761,413104
2006,XII,R,6.05,75.53,64.76,95.97,64.76,99.17,60.72,51.86,29.45,91.16,77.27,28.04,39.81,104.99,94.81,34.23,8.58,4.20,16.16,64.55,60.75,3.13,58.86,39.25,88.50,70.3,69.2,5.0,20.0,14.4,20.7,2.8,75.3,42.1,34.0,3.5,3.0,3.0,50.4,5.9,22.4,13.5,26.0,70.7,7.4,733597,737075,360948
2009,XII,R,4.67,78.22,50.68,94.92,50.68,98.84,65.34,45.74,33.33,99.36,74.78,33.56,34.92,111.86,77.39,59.93,9.22,4.77,6.03,76.67,55.61,4.94,52.86,44.39,88.99,52.8,54.0,3.7,23.8,11.2,27.0,2.3,64.5,44.5,5.6,14.8,11.0,10.3,81.3,9.9,43.5,13.6,42.8,67.8,8.1,642253,659213,437449
2006,XIV,R,13.07,89.15,52.51,95.29,52.51,94.68,66.03,51.11,19.90,94.12,61.36,7.66,26.10,112.44,75.03,8.72,7.31,10.84,54.22,61.69,44.89,6.01,42.19,55.11,77.44,53.4,69.1,6.3,30.7,14.0,16.5,3.6,93.5,55.6,11.0,13.1,10.5,11.3,40.3,0.8,6.7,24.6,26.1,74.6,7.1,329840,344899,187604
2009,XIV,R,12.05,71.03,63.92,96.72,63.92,96.61,71.57,49.97,26.44,92.78,70.59,10.95,30.61,106.35,93.79,12.77,7.57,7.75,50.91,60.26,42.32,9.32,38.37,57.68,77.22,51.6,68.5,7.4,30.2,16.0,18.4,3.3,89.1,54.4,11.5,18.8,15.6,17.3,50.9,2.8,8.7,31.5,20.4,83.2,10.8,324554,361853,229412
2006,XV,R,22.91,14.79,40.00,87.17,40.00,97.22,53.95,50.39,33.50,89.04,85.30,15.74,39.42,94.65,114.84,19.95,8.02,9.39,61.06,63.48,66.58,1.58,65.53,33.42,76.26,38.8,63.4,6.6,27.4,14.8,18.8,3.1,91.3,46.3,11.3,7.2,5.3,4.9,29.7,0.0,7.5,63.6,25.4,78.0,5.2,359328,368859,166416
